SectionName,SectionTimeLimitMinutes,QuestionUniqueID,QuestionNumberInSection,PassageOrSetID,PassageOrSetContent,QuestionPrompt,OptionAText,OptionBText,OptionCText,OptionDText,OptionAValue,OptionBValue,OptionCValue,OptionDValue,CorrectAnswerValue,QuestionType,Topic,SubTopic,DifficultyLevelPredicted,ConceptTested,DetailedTags,IsTITA,SetID,CognitiveSkillLevel,SolutionExplanation
QA,,584930271,1,,,A sum of money amounts to Rs. 9680 in 2 years and to Rs. 10648 in 3 years when compounded annually. What is the rate of interest per annum?,8%,9%,10%,11%,A,B,C,D,C,MCQ,Arithmetic,Compound Interest,Medium,Finding interest rate from amounts of consecutive years in compound interest.,"amount calculation, rate of interest, successive amounts",FALSE,MockSet3_QA_Clean,,"Let the principal be P and the rate of interest be R% per annum.
Amount after 2 years = P(1 + R/100)^2 = 9680 (Equation 1)
Amount after 3 years = P(1 + R/100)^3 = 10648 (Equation 2)
Divide Equation 2 by Equation 1:
[P(1 + R/100)^3] / [P(1 + R/100)^2] = 10648 / 9680
1 + R/100 = 10648 / 9680 = 1.1
R/100 = 0.1
R = 10%."
QA,,695041382,2,,,"Three runners A, B, and C run on a circular track of length 1200 m. Their speeds are 10 m/s, 15 m/s, and 25 m/s respectively. If they start at the same time from the same point and run in the same direction, after how many seconds will all three of them meet at the starting point for the first time?",,,,,,,,,240,TITA,Arithmetic,"Time, Speed & Distance (Races - Linear & Circular)",Easy,Finding the time for objects moving in a circular path to meet at the starting point using LCM.,"circular track, meeting at starting point, LCM of times",TRUE,MockSet3_QA_Clean,,"Length of the circular track L = 1200 m.
Speeds of A, B, C are S_A = 10 m/s, S_B = 15 m/s, S_C = 25 m/s.
Time taken by A to complete one round = T_A = L/S_A = 1200/10 = 120 seconds.
Time taken by B to complete one round = T_B = L/S_B = 1200/15 = 80 seconds.
Time taken by C to complete one round = T_C = L/S_C = 1200/25 = 48 seconds.
For all three to meet at the starting point for the first time, the time elapsed must be the LCM (Least Common Multiple) of T_A, T_B, and T_C.
LCM(120, 80, 48).
Prime factorization:
120 = 2^3 * 3 * 5
80 = 2^4 * 5
48 = 2^4 * 3
LCM = 2^4 * 3^1 * 5^1 = 16 * 3 * 5 = 240 seconds."
QA,,706152493,3,,,"The polynomial P(x) = ax^3 - 11x^2 + bx + 4 has (x-2) as a factor. When P(x) is divided by (x+1), the remainder is -14. What is the value of a + b?",5,7,9,11,A,B,C,D,B,MCQ,Algebra,Polynomials (Higher degree equations),Medium,Applying Factor and Remainder theorems to solve for coefficients of a polynomial.,"factor theorem, remainder theorem, system of linear equations",FALSE,MockSet3_QA_Clean,,"Given P(x) = ax^3 - 11x^2 + bx + 4.
Since (x-2) is a factor, by the Factor Theorem, P(2) = 0.
a(2)^3 - 11(2)^2 + b(2) + 4 = 0
8a - 44 + 2b + 4 = 0
8a + 2b = 40 => 4a + b = 20 (Equation 1).
When P(x) is divided by (x+1), the remainder is -14. By the Remainder Theorem, P(-1) = -14.
a(-1)^3 - 11(-1)^2 + b(-1) + 4 = -14
-a - 11 - b + 4 = -14
-a - b - 7 = -14
-a - b = -7
a + b = 7 (Equation 2).
The question asks for the value of a + b, which is 7."
QA,,817263504,4,,,"The average age of a group of N people is 35 years. If two people aged 25 years and 45 years leave the group, and three new people with ages in the ratio 2:3:4 join the group, the average age of the new group becomes 36 years. If the sum of the ages of the three new people is 108 years, find the initial number of people N.",,,,,,,,,2,TITA,Arithmetic,Averages & Weighted Averages,Hard,Calculating initial group size based on changes in average age.,"average change, addition and removal of elements, algebraic setup",TRUE,MockSet3_QA_Clean,,"Let the initial number of people be N.
Initial sum of ages = 35N.
Two people (aged 25 and 45) leave. Sum of ages removed = 25 + 45 = 70.
Sum of ages of remaining (N-2) people = 35N - 70.
Three new people join. Sum of their ages is 108 years.
New sum of ages = (35N - 70) + 108 = 35N + 38.
New number of people = (N-2) + 3 = N+1.
New average age = 36 years.
(35N + 38) / (N+1) = 36
35N + 38 = 36(N+1)
35N + 38 = 36N + 36
N = 2."
QA,,928374615,5,,,"A shopkeeper sells two articles. He sells the first article at a 20% profit and the second article at a 10% loss. The selling price of both articles is the same. If his overall profit is Rs. 140, what is the cost price of the first article?",Rs. 1800,Rs. 2000,Rs. 2100,Rs. 2400,A,B,C,D,C,MCQ,Arithmetic,"Profit, Loss & Discount",Hard,Solving profit and loss problems involving two articles with the same selling price.,"two articles, same selling price, overall profit, cost price calculation",FALSE,MockSet3_QA_Clean,,"Let CP1 and CP2 be the cost prices of the first and second articles.
First article sold at 20% profit: SP1 = 1.2 * CP1.
Second article sold at 10% loss: SP2 = 0.9 * CP2.
Given SP1 = SP2, so 1.2 * CP1 = 0.9 * CP2.
This simplifies to 4 * CP1 = 3 * CP2, which means CP1/CP2 = 3/4.
Let CP1 = 3k and CP2 = 4k.
Total CP = CP1 + CP2 = 3k + 4k = 7k.
The common selling price SP = 1.2 * (3k) = 3.6k.
Total SP = SP1 + SP2 = 3.6k + 3.6k = 7.2k.
Overall Profit = Total SP - Total CP = 7.2k - 7k = 0.2k.
The overall profit is given as Rs. 140.
0.2k = 140
k = 140 / 0.2 = 700.
The cost price of the first article is CP1 = 3k = 3 * 700 = Rs. 2100."
QA,,139485726,6,,,"In triangle ABC, D is a point on BC such that BD:DC = 3:4. E is a point on AD such that AE:ED = 2:1. What is the ratio of the area of triangle ABE to the area of triangle ABC?","""1/7""","""2/7""","""3/14""","""6/35""",A,B,C,D,B,MCQ,Geometry,"Triangles (Properties, Congruence, Similarity)",Medium,Using the property of area division by a cevian in a triangle.,"area ratio, cevian, ratio of bases, multi-step area division",FALSE,MockSet3_QA_Clean,,"Let Area(ΔABC) denote the area of triangle ABC.
D is a point on BC. In triangles with the same height from vertex A, the ratio of their areas is the ratio of their bases.
Area(ΔABD) / Area(ΔABC) = BD/BC. Since BD:DC = 3:4, BC = BD+DC, so BD/BC = 3/7.
Area(ΔABD) = (3/7) * Area(ΔABC).
E is a point on AD. In triangle ABD, E is on the base AD.
Area(ΔABE) / Area(ΔABD) = AE/AD. Since AE:ED = 2:1, AD = AE+ED, so AE/AD = 2/3.
Area(ΔABE) = (2/3) * Area(ΔABD).
Substitute the expression for Area(ΔABD):
Area(ΔABE) = (2/3) * [(3/7) * Area(ΔABC)] = (2/7) * Area(ΔABC).
The ratio of Area(ΔABE) to Area(ΔABC) is 2/7."
QA,,240596837,7,,,Find the number of trailing zeros in the product 5 * 10 * 15 * 20 * ... * 250.,,,,,,,,,47,TITA,Number System,Factorials,Hard,Calculating trailing zeros in a product by finding powers of 2 and 5 in its prime factorization.,"trailing zeros, product of series, power of primes in factorial",TRUE,MockSet3_QA_Clean,,"The product is P = 5 * 10 * 15 * 20 * ... * 250.
Each term is a multiple of 5. We can factor out 5 from each of the 50 terms (since 250 = 5*50).
P = (5*1) * (5*2) * (5*3) * ... * (5*50) = 5^50 * (1 * 2 * 3 * ... * 50) = 5^50 * 50!.
The number of trailing zeros is the highest power of 10 in P, which is min(power of 5, power of 2).
Power of 5 in P = 50 (from 5^50) + (Power of 5 in 50!).
Power of 5 in 50! = floor(50/5) + floor(50/25) = 10 + 2 = 12.
Total power of 5 = 50 + 12 = 62.
Power of 2 in P = Power of 2 in 50! (since 5^50 has no factors of 2).
Power of 2 in 50! = floor(50/2) + floor(50/4) + floor(50/8) + floor(50/16) + floor(50/32) = 25 + 12 + 6 + 3 + 1 = 47.
The number of trailing zeros is min(Total power of 5, Total power of 2) = min(62, 47) = 47."
QA,,351607948,8,,,"If log_2(x) + log_4(x) + log_16(x) = 35/4, what is the value of x?",8,16,32,64,A,B,C,D,C,MCQ,Algebra,Logarithms,Easy,Solving logarithmic equations using the change of base formula.,"change of base formula, solving logarithmic equations",FALSE,MockSet3_QA_Clean,,"Given log_2(x) + log_4(x) + log_16(x) = 35/4.
Using the change of base formula, log_b(a) = log_c(a) / log_c(b), we convert all terms to base 2.
log_4(x) = log_2(x) / log_2(4) = log_2(x) / 2.
log_16(x) = log_2(x) / log_2(16) = log_2(x) / 4.
Let y = log_2(x). The equation becomes:
y + y/2 + y/4 = 35/4.
To clear the denominators, multiply the entire equation by 4:
4y + 2y + y = 35
7y = 35
y = 5.
Since y = log_2(x), we have log_2(x) = 5.
x = 2^5 = 32."
QA,,462718059,9,,,"A alone can finish a job in 20 days, B in 30 days and C in 12 days. A works alone for 5 days; then A and B work together for the next 5 days; thereafter A, B and C work together till completion. For how many days did C work?",,,,,,,,,2,TITA,Arithmetic,Time & Work,Medium,Solving a multi-stage work problem using the LCM method for work units.,"LCM method, multi-stage work, combined work, integer answer",TRUE,MockSet3_QA_Clean,,"Let the total work be the LCM of (20, 30, 12), which is 60 units.
Rate of A = 60/20 = 3 units/day.
Rate of B = 60/30 = 2 units/day.
Rate of C = 60/12 = 5 units/day.
Phase 1: A works alone for 5 days. Work done = 5 days * 3 units/day = 15 units.
Remaining work = 60 - 15 = 45 units.
Phase 2: A and B work together for 5 days. Combined rate (A+B) = 3 + 2 = 5 units/day.
Work done = 5 days * 5 units/day = 25 units.
Remaining work = 45 - 25 = 20 units.
Phase 3: A, B, and C work together. Combined rate (A+B+C) = 3 + 2 + 5 = 10 units/day.
Time to complete remaining work = 20 units / 10 units/day = 2 days.
C worked only in Phase 3. Therefore, C worked for 2 days."
QA,,573829160,10,,,"A train, after traveling for 1 hour, meets with an accident and its speed reduces to 3/5 of its usual speed. Due to this, it reaches its destination 2 hours and 40 minutes late. If the accident had occurred 100 km further on its path, it would have reached only 2 hours late. What is the usual speed of the train in km/h?",60 km/h,75 km/h,80 km/h,100 km/h,A,B,C,D,D,MCQ,Arithmetic,"Time, Speed & Distance (General)",Hard,"Solving a time, speed, distance problem involving an accident and reduced speed by comparing two scenarios.","accident scenario, speed reduction, two scenarios, simultaneous equations",FALSE,MockSet3_QA_Clean,,"Let the usual speed be S km/h and total journey distance be D km.
In the first case, the train travels for 1 hour at speed S, covering S km. The remaining distance is (D-S) km.
The delay of 2h 40 min (8/3 hours) is caused on this remaining distance.
Let the usual time for the remaining journey be T_rem = (D-S)/S.
New speed S' = (3/5)S. New time T'_rem = (D-S) / S' = (D-S) / ((3/5)S) = (5/3) * ((D-S)/S) = (5/3)T_rem.
Delay = T'_rem - T_rem = (5/3)T_rem - T_rem = (2/3)T_rem.
(2/3)T_rem = 8/3 hours => T_rem = 4 hours.
In the second case, the accident occurs 100 km further. The train covers (S+100) km at speed S.
The portion of the journey affected by the slow speed is now 100 km shorter. The delay of 2 hours is caused on this portion.
Usual time for this shorter slow part = T_rem - (Time to cover 100km at S) = 4 - 100/S.
The delay is (2/3) of this usual time:
(2/3) * (4 - 100/S) = 2
4 - 100/S = 3
1 = 100/S
S = 100 km/h."
