CognitiveSkillLevel,ConceptTested,CorrectAnswerValue,DetailedTags,DifficultyLevelPredicted,IsTITA,OptionAText,OptionAValue,OptionBText,OptionBValue,OptionCText,OptionCValue,OptionDText,OptionDValue,PassageOrSetContent,PassageOrSetID,QuestionNumberInSection,QuestionPrompt,QuestionType,QuestionUniqueID,SectionName,SectionTimeLimitMinutes,SetID,SolutionExplanation,SubTopic,Topic
Application,"Profit, Loss & Discount",19%,"Percentages, Successive Discounts, Cost Price, Selling Price, Markup",Medium,False,(A) 15%,15%,(B) 18%,18%,(C) 19%,19%,(D) 22%,22%,,,1,"A shopkeeper bought an article for Rs. 500. He marked it up by X% and sold it after giving a discount of 20%, making a profit of 20%. If he had marked it up by (X+20)% and given a discount of 30%, what would have been his profit percentage?",MCQ,MockSet1_QA_1,Quantitative Aptitude,40,MockSet1_QA,"Let Cost Price (CP) = Rs. 500.
**Scenario 1:** Markup X%, Discount 20%, Profit 20%.
Selling Price (SP1) = CP * (1 + Profit%/100) = 500 * (1 + 20/100) = 500 * 1.2 = Rs. 600.
Let Marked Price be MP1.
SP1 = MP1 * (1 - Discount%/100) = MP1 * 0.8.
The marked price is given by MP1 = CP * (1 + X/100).
So, 500 * (1 + X/100) * 0.8 = 600.
400 * (1 + X/100) = 600.
1 + X/100 = 600/400 = 1.5.
X/100 = 0.5, so X = 50.

**Scenario 2:** Markup (X+20)%, Discount 30%.
New markup percentage = (50+20)% = 70%.
New Marked Price (MP2) = CP * (1 + 70/100) = 500 * 1.7 = Rs. 850.
New Selling Price (SP2) = MP2 * (1 - 30/100) = 850 * 0.7 = Rs. 595.
Profit2 = SP2 - CP = 595 - 500 = Rs. 95.
Profit Percentage2 = (Profit2 / CP) * 100 = (95 / 500) * 100 = 19%.
The correct option is (C).","Profit, Loss & Discount",Arithmetic
Analysis,Divisibility Rules,6,"Divisibility by 72, Divisibility by 8, Divisibility by 9, Number Formation, Smallest Integer",Hard,True,,,,,,,,,,,2,"A positive integer N consists of 'p' repetitions of the digit 'a' followed by 'q' repetitions of the digit 'b' (e.g., if a=1, p=3, b=2, q=2, N=11122). Given that N is divisible by 72, 'a' and 'b' are distinct non-zero digits, 'p' is the smallest even integer greater than 1, and 'q' is the smallest odd integer greater than 1. Find the value of 'a'.",TITA,MockSet1_QA_2,Quantitative Aptitude,40,MockSet1_QA,"The number N is formed by 'p' 'a's followed by 'q' 'b's.
'p' is the smallest even integer greater than 1, so p = 2.
'q' is the smallest odd integer greater than 1, so q = 3.
The number N has the form 'aabbb'.
N is divisible by 72, which means N is divisible by both 8 and 9.
**Divisibility by 8:** The number formed by the last three digits, 'bbb' (which is 111b), must be divisible by 8.
Since 111 is odd, for 111b to be divisible by 8, 'b' must be an even digit such that 111b is a multiple of 8. Testing even digits: 111*2=222 (not div by 8), 111*4=444 (not div by 8), 111*6=666 (not div by 8), 111*8=888 (div by 8).
As 'b' is a non-zero digit, b = 8.
**Divisibility by 9:** The sum of digits of N must be divisible by 9.
Sum of digits = pa + qb = 2a + 3b.
Substitute b=8: Sum = 2a + 3(8) = 2a + 24.
2a + 24 must be a multiple of 9.
'a' is a non-zero digit (1 to 9) and a ≠ b (so a ≠ 8).
Test values for 'a':
If a=6, Sum = 2(6) + 24 = 12 + 24 = 36. 36 is divisible by 9.
This satisfies all conditions (a=6, b=8, a≠b, a,b are non-zero digits).
The value of 'a' is 6.",Divisibility Rules,Number System
Application,Circles,372,"Common Chord, Distance between centers, Area of Quadrilateral, Pythagoras Theorem",Medium,False,(A) 372,372,(B) 396,396,(C) 418,418,(D) 435,435,,,3,"Two circles with centers A and B intersect at points P and Q. The line segment AB is perpendicular to the common chord PQ and M is the intersection point of AB and PQ. The length of the common chord PQ is 24 cm. The distance between the centers A and B is 31 cm. If the radius of the circle with center A is 15 cm, what is the area (in sq. cm) of the quadrilateral APBQ?",MCQ,MockSet1_QA_3,Quantitative Aptitude,40,MockSet1_QA,"The line connecting the centers of two intersecting circles (AB) is the perpendicular bisector of their common chord (PQ). Let M be the intersection of AB and PQ.
PM = MQ = PQ/2 = 24/2 = 12 cm.
In right-angled ΔAPM, AP is the radius of the circle with center A (r_A = 15 cm).
AM² + PM² = AP²
AM² + 12² = 15²
AM² + 144 = 225
AM² = 81 => AM = 9 cm.
Given AB = 31 cm.
BM = AB - AM = 31 - 9 = 22 cm.
The area of quadrilateral APBQ is the sum of the areas of ΔAPQ and ΔBPQ.
Area(APBQ) = Area(ΔAPQ) + Area(ΔBPQ) = (1/2 * PQ * AM) + (1/2 * PQ * BM)
Area(APBQ) = (1/2) * PQ * (AM + BM) = (1/2) * PQ * AB
Area(APBQ) = (1/2) * 24 * 31 = 12 * 31 = 372 sq. cm.
The correct option is (A).","Circles (Properties, Chords, Tangents, Secants)",Geometry
Analysis,Relative Speed,60 km/hr,"Relative Speed, Meeting Point, Multiple travelers",Hard,False,(A) 50 km/hr,50 km/hr,(B) 60 km/hr,60 km/hr,(C) 75 km/hr,75 km/hr,(D) 80 km/hr,80 km/hr,,,4,"Ajay and Binay start simultaneously from points P and Q respectively, towards each other. The distance between P and Q is 600 km. Ajay’s speed is 40 km/hr and Binay’s speed is 20 km/hr. When Ajay and Binay meet, a third person, Chetan, who started from P 3 hours after Ajay started (travelling towards Q), has already met Binay and is now 20 km away from Binay (Binay being closer to P than Chetan is). What is Chetan’s speed in km/hr?",MCQ,MockSet1_QA_4,Quantitative Aptitude,40,MockSet1_QA,"Distance PQ = 600 km. Speed of Ajay (S_A) = 40 km/hr. Speed of Binay (S_B) = 20 km/hr.
Ajay and Binay travel towards each other. Their relative speed = S_A + S_B = 40 + 20 = 60 km/hr.
Time until Ajay and Binay meet (T_meet) = Distance / Relative Speed = 600 / 60 = 10 hours.
Meeting point M is at a distance of S_A * T_meet = 40 * 10 = 400 km from P.
Chetan starts from P, 3 hours after Ajay. At T_meet = 10 hours, Chetan has been travelling for 10 - 3 = 7 hours.
Let Chetan's speed be S_C.
At T_meet, Binay is at point M, 400 km from P.
The problem states Chetan is 20 km away from Binay, and 'Binay being closer to P than Chetan is'. This means Chetan is at position 400 + 20 = 420 km from P.
Chetan travelled 420 km in 7 hours.
S_C = Distance / Time = 420 / 7 = 60 km/hr.
The correct option is (B).","Time, Speed & Distance (General)",Arithmetic
Application,Arithmetic Progression,53,"Arithmetic Progression, Sum of AP, Term of AP",Medium,True,,,,,,,,,,,5,"The sum of the first 12 terms of an arithmetic progression is 222, and the sum of the first 24 terms of the same arithmetic progression is 876. Find the 18th term of this progression.",TITA,MockSet1_QA_5,Quantitative Aptitude,40,MockSet1_QA,"Let the arithmetic progression have first term 'a' and common difference 'd'.
Sum of first n terms S_n = (n/2) * [2a + (n-1)d].
Given S₁₂ = 222:
(12/2) * [2a + (12-1)d] = 222 => 6 * (2a + 11d) = 222.
2a + 11d = 37. (Equation 1)
Given S₂₄ = 876:
(24/2) * [2a + (24-1)d] = 876 => 12 * (2a + 23d) = 876.
2a + 23d = 73. (Equation 2)
Subtract Equation 1 from Equation 2:
(2a + 23d) - (2a + 11d) = 73 - 37.
12d = 36 => d = 3.
Substitute d=3 into Equation 1:
2a + 11(3) = 37 => 2a + 33 = 37 => 2a = 4 => a = 2.
The 18th term, a₁₈ = a + (18-1)d = a + 17d.
a₁₈ = 2 + 17(3) = 2 + 51 = 53.
The 18th term is 53.","Sequences & Series (AP, GP, HP, Special Series)",Algebra
Application,Weighted Average,35.33 years,"Weighted Average, Group Average Change",Medium,False,(A) 35.33 years,35.33 years,(B) 36.0 years,36.0 years,(C) 34.67 years,34.67 years,(D) 35.0 years,35.0 years,,,6,"The average age of a group of 40 employees in a company is 35 years. 8 employees with an average age of 30 years resign, and 12 new employees with an average age of 'x' years join the company. If the new average age of all employees in the company becomes 36 years, what is the value of 'x'?",MCQ,MockSet1_QA_6,Quantitative Aptitude,40,MockSet1_QA,"Initial sum of ages = 40 employees * 35 years/employee = 1400 years.
Sum of ages of 8 employees who resigned = 8 * 30 = 240 years.
Sum of ages of remaining 32 employees = 1400 - 240 = 1160 years.
Let the average age of 12 new employees be 'x'. Sum of their ages = 12x.
New number of employees = 32 + 12 = 44.
New sum of ages = 1160 + 12x.
New average age = 36 years.
(1160 + 12x) / 44 = 36.
1160 + 12x = 36 * 44 = 1584.
12x = 1584 - 1160 = 424.
x = 424 / 12 = 106 / 3 = 35.333... years.
The value of 'x' is 35.33 years.
The correct option is (A).",Averages & Weighted Averages,Arithmetic
Application,Volume and Recasting,420,"Volume of Cylinder, Volume of Cone, Volume of Sphere, Melting and Recasting",Medium,True,,,,,,,,,,,7,"A solid metal cylinder of radius 7 cm and height 20 cm is melted. Three-sevenths of this molten metal is used to make 'K' identical solid cones, each of radius 3 cm and height 7 cm, where K is an integer. The remaining metal is used to make 'N' identical solid spheres, each of radius 1 cm. If pi is taken as 22/7, find the value of N.",TITA,MockSet1_QA_7,Quantitative Aptitude,40,MockSet1_QA,"Volume of cylinder (V_cyl) = π * r² * h = (22/7) * 7² * 20 = 22 * 7 * 20 = 3080 cm³.
Volume of metal used for cones (V_cones) = (3/7) * 3080 = 3 * 440 = 1320 cm³.
Volume of one cone (V_cone) = (1/3) * π * r² * h = (1/3) * (22/7) * 3² * 7 = 22 * 3 = 66 cm³.
Number of cones (K) = V_cones / V_cone = 1320 / 66 = 20.
Volume of remaining metal for spheres (V_spheres) = V_cyl - V_cones = 3080 - 1320 = 1760 cm³.
Volume of one sphere (V_sphere) = (4/3) * π * r³ = (4/3) * (22/7) * 1³ = 88/21 cm³.
Number of spheres (N) = V_spheres / V_sphere = 1760 / (88/21) = 1760 * 21 / 88.
1760 / 88 = 20.
N = 20 * 21 = 420.
The value of N is 420.","Mensuration - 3D (Volume & Surface Area: Cubes, Cuboids, Cylinders, Cones, Spheres, Prisms, Pyramids, Frustum)",Mensuration
Analysis,Quadratic Equations and Progressions,-1,"Roots of Quadratic Equation, Geometric Progression of roots, Discriminant",Hard,False,(A) -3,-3,(B) -1,-1,(C) 1,1,(D) 2,2,,,8,"If the roots of the quadratic equation x² – (k+2)x + (k+1)(k+2) = 0 are α and β, and these roots α, β are themselves in geometric progression with a common ratio 'r' such that |r| ≠ 1, which of the following is a possible value of k?",MCQ,MockSet1_QA_8,Quantitative Aptitude,40,MockSet1_QA,"For the roots α and β to be distinct (|r| ≠ 1), the discriminant (D) must be greater than 0.
D = (-(k+2))² - 4(1)((k+1)(k+2)) > 0.
(k+2)² - 4(k+1)(k+2) > 0.
(k+2) * [(k+2) - 4(k+1)] > 0.
(k+2) * [k+2 - 4k - 4] > 0.
(k+2)(-3k - 2) > 0.
-(k+2)(3k+2) > 0.
(k+2)(3k+2) < 0.
This inequality holds for -2 < k < -2/3.
Checking the options against this valid range:
(A) -3 is not in the range.
(B) -1 is in the range (-2, -0.66...).
(C) 1 is not in the range.
(D) 2 is not in the range.
Therefore, k = -1 is the only possible value among the choices.
The correct option is (B).",Quadratic Equations,Algebra
Application,Work and Efficiency,24 days,"Work and Efficiency, Multiple workers, Work in phases",Medium,False,(A) 22 days,22 days,(B) 24 days,24 days,(C) 26 days,26 days,(D) 28 days,28 days,,,9,"A, B, and C can complete a piece of work in 24, 36, and 48 days respectively. They start working together. After 4 days, A leaves. B and C continue to work together for 'x' more days. Then B leaves, and C completes the remaining 25% of the total work in 'y' more days. Find the total number of days taken to complete the work.",MCQ,MockSet1_QA_9,Quantitative Aptitude,40,MockSet1_QA,"Total Work = LCM(24, 36, 48) = 144 units.
Rates: A = 144/24 = 6 units/day, B = 144/36 = 4 units/day, C = 144/48 = 3 units/day.
**Phase 1:** A, B, C work for 4 days.
Work done = (6+4+3) * 4 = 13 * 4 = 52 units.
Remaining work = 144 - 52 = 92 units.
**Phase 3:** C completes 25% of total work alone.
Work done by C = 0.25 * 144 = 36 units.
Time taken by C (y) = 36 units / 3 units/day = 12 days.
**Phase 2:** B and C work together.
Work done in Phase 2 = Total Work - Work(Phase 1) - Work(Phase 3) = 144 - 52 - 36 = 56 units.
Combined rate of B and C = 4 + 3 = 7 units/day.
Time taken by B+C (x) = 56 units / 7 units/day = 8 days.
Total days = (Days in Phase 1) + x + y = 4 + 8 + 12 = 24 days.
The correct option is (B).",Time & Work,Arithmetic
Analysis,Distribution and Grouping,36,"Distribution of distinct items into distinct boxes, Grouping",Hard,False,(A) 24,24,(B) 30,30,(C) 36,36,(D) 48,48,,,10,In how many ways can 4 distinct letters be posted into 3 distinct letterboxes such that no letterbox remains empty?,MCQ,MockSet1_QA_10,Quantitative Aptitude,40,MockSet1_QA,"We need to post 4 distinct letters into 3 distinct letterboxes such that no letterbox is empty. This requires partitioning the 4 letters into 3 non-empty sets. The only possible partition is one group of 2 letters and two groups of 1 letter (2, 1, 1).
**Step 1: Form the groups.**
First, choose the 2 letters that will be in the same group.
Number of ways to choose these 2 letters from 4 = C(4,2) = (4×3)/(2×1) = 6.
Once this pair is chosen, the other two letters form their own individual groups. We now have three distinct items to distribute: {a group of 2 letters}, {a single letter}, {another single letter}.
**Step 2: Distribute the groups.**
These 3 distinct groups must be placed into the 3 distinct letterboxes.
The number of ways to arrange 3 distinct items into 3 distinct places is 3! = 3 × 2 × 1 = 6.
**Total Ways:**
Total ways = (Ways to form the groups) × (Ways to distribute the groups) = 6 × 6 = 36.
The correct option is (C).",Permutations & Combinations,Modern Maths
