SectionName,SectionTimeLimitMinutes,QuestionUniqueID,QuestionNumberInSection,PassageOrSetID,PassageOrSetContent,QuestionPrompt,OptionAText,OptionBText,OptionCText,OptionDText,OptionAValue,OptionBValue,OptionCValue,OptionDValue,CorrectAnswerValue,QuestionType,Topic,SubTopic,DifficultyLevelPredicted,ConceptTested,DetailedTags,IsTITA,SetID,CognitiveSkillLevel,SolutionExplanation
QA,,Q67,1,,,"A shopkeeper marks up his goods by 50% above his cost price. He then offers a discount of 20% on the marked price. Due to a faulty weighing machine, he sells only 900 grams for every 1 kg he bills. Furthermore, he had procured his stock using a supplier's faulty machine, obtaining 1100 grams of goods for the price of 1 kg. What is his approximate net profit percentage?",42.33%,46.67%,50.11%,52.78%,A,B,C,D,B,MCQ,Arithmetic,"Profit, Loss & Discount",Medium,"Percentages, Profit and Loss, Faulty Weights, Multiple stage profit calculation","Percentages, Profit and Loss, Faulty Weights, Multiple stage profit calculation",False,MockSet3_QA,,"Let the shopkeeper's actual cost for 1000 grams (1 kg) of goods from an honest supplier be Rs. 1000.
Due to the supplier's faulty machine, he gets 1100 grams for Rs. 1000.
So, his effective cost for 1100 grams is Rs. 1000.
His effective cost per gram = Rs. 1000 / 1100 = Rs. 10/11.
He marks up his goods by 50% above his perceived cost price (assume he perceives his CP as Rs. 1000 for 1000g, or Rs. 1 per gram for marking purposes).
Marked Price (MP) per gram (label) = Rs. 1 * 1.50 = Rs. 1.50.
MP for 1 kg (label) = Rs. 1500.
He offers a 20% discount on MP.
Selling Price (SP) per gram (label) = Rs. 1.50 * 0.80 = Rs. 1.20.
SP for 1 kg (label) = Rs. 1200.
Due to his faulty machine, he sells only 900 grams when he bills for 1 kg.
So, he receives Rs. 1200 for selling 900 grams of goods.
The actual cost of these 900 grams for him = 900 grams * (Rs. 10/11 per gram) = Rs. 9000/11.
Profit = SP for 900g - Cost of 900g
Profit = Rs. 1200 - Rs. 9000/11 = (Rs. 13200 - Rs. 9000) / 11 = Rs. 4200/11.
Profit Percentage = (Profit / Cost of 900g) * 100
= ( (4200/11) / (9000/11) ) * 100
= (4200 / 9000) * 100
= (42 / 90) * 100 = (7 / 15) * 100 = 700 / 15 = 140 / 3 = 46.666...%
Approximate net profit percentage = 46.67%."
QA,,Q78,2,,,"If log₂(x) + log₄(x) + log₁₆(x) = 21/4, what is the value of x?",4,8,16,32,A,B,C,D,B,MCQ,Algebra,Logarithms,Easy,"Logarithms, Properties of Logarithms, Change of Base","Logarithms, Properties of Logarithms, Change of Base",False,MockSet3_QA,,"The given equation is log₂(x) + log₄(x) + log₁₆(x) = 21/4.
To solve this, we convert all logarithms to a common base, preferably base 2.
Recall the logarithm property: log_{b^k}(M) = (1/k)log_b(M).
Using this property:
log₄(x) = log_{2²}(x) = (1/2)log₂(x).
log₁₆(x) = log_{2⁴}(x) = (1/4)log₂(x).
Substitute these expressions back into the original equation:
log₂(x) + (1/2)log₂(x) + (1/4)log₂(x) = 21/4.
Let y = log₂(x). The equation becomes:
y + y/2 + y/4 = 21/4.
To combine the terms on the left side, find a common denominator, which is 4:
(4y/4) + (2y/4) + (y/4) = 21/4.
(4y + 2y + y) / 4 = 21/4.
7y / 4 = 21/4.
Multiply both sides by 4:
7y = 21.
Divide by 7:
y = 3.
Since y = log₂(x), we have:
log₂(x) = 3.
By the definition of logarithm (if log_b(a) = c, then a = b^c):
x = 2³
x = 8."
QA,,Q83,3,,,"In ΔABC, AB = 20 cm, AC = 28 cm, and BC = 24 cm. D is a point on BC such that AD is the internal angle bisector of ∠A. If E is the midpoint of AD, and BE is extended to meet AC at F, find the length of AF in cm.",70/9,140/17,120/13,28/3,A,B,C,D,B,MCQ,Geometry,"Triangles (Properties, Congruence, Similarity)",Hard,"Geometry, Triangles, Angle Bisector Theorem, Mass Point Geometry (or Menelaus Theorem)","Geometry, Triangles, Angle Bisector Theorem, Mass Point Geometry (or Menelaus Theorem)",False,MockSet3_QA,,"Given ΔABC with AB=c=20, AC=b=28, BC=a=24. AD is the internal angle bisector of ∠A.
By Angle Bisector Theorem, BD/DC = AB/AC = 20/28 = 5/7.
Since BD + DC = BC = 24, we have BD = (5/(5+7)) * 24 = (5/12) * 24 = 10 cm.
DC = (7/12) * 24 = 14 cm.
E is the midpoint of AD. BE is extended to meet AC at F.
We can use Mass Point Geometry.
Place masses m_B at B and m_C at C such that D is their center of mass.
m_B * BD = m_C * DC => m_B * 10 = m_C * 14 => m_B/m_C = 14/10 = 7/5.
Let m_B = 7 units and m_C = 5 units.
The mass at D, m_D = m_B + m_C = 7 + 5 = 12 units.
Now, E is the midpoint of AD. For E to be the center of mass of A and D, if mass at D is m_D = 12, then mass at A, m_A, must also be 12 (m_A * AE = m_D * DE, and AE=DE).
So, m_A = 12 units.
The line BEF passes through F on AC. F is the center of mass for A and C (with masses m_A and m_C) if B, E, F are collinear.
The masses at A and C are m_A = 12 and m_C = 5.
For F on AC, AF/FC = m_C/m_A = 5/12.
The length of AF = (m_C / (m_A + m_C)) * AC = (5 / (12 + 5)) * 28
AF = (5/17) * 28 = 140/17 cm."
QA,,Q76,4,,,"When a positive integer N is divided by 7, the remainder is 2. When N is divided by 11, the remainder is 7. What is the remainder when N is divided by 77?",16,23,37,51,A,B,C,D,D,MCQ,Number System,Remainders (incl. Remainder Theorem),Medium,"Number System, Remainders, Chinese Remainder Theorem (or listing method)","Number System, Remainders, Chinese Remainder Theorem (or listing method)",False,MockSet3_QA,,"Given:
1. When N is divided by 7, the remainder is 2. This can be written as N ≡ 2 (mod 7).
2. When N is divided by 11, the remainder is 7. This can be written as N ≡ 7 (mod 11).
We need to find the remainder when N is divided by 77. Let this remainder be R.
So, N ≡ R (mod 77). This implies R < 77.
From N ≡ R (mod 77), we have R ≡ N ≡ 2 (mod 7) and R ≡ N ≡ 7 (mod 11).
We need to find a number R (0 ≤ R < 77) that satisfies these two congruences.
We can list numbers satisfying the second congruence (N ≡ 7 (mod 11)) and check their remainder when divided by 7:
Possible values for R (or N) are 7, 18 (11+7), 29 (22+7), 40 (33+7), 51 (44+7), 62 (55+7), 73 (66+7).
Now check these values with the first congruence (R ≡ 2 (mod 7)):
• 7 mod 7 = 0 (not 2)
• 18 mod 7 = 4 (not 2)
• 29 mod 7 = 1 (not 2)
• 40 mod 7 = 5 (not 2)
• 51 mod 7 = 2 (since 51 = 7 × 7 + 2). This matches.
So, R = 51 is a possible remainder. Since 0 ≤ 51 < 77, this is the required remainder."
QA,,Q87,5,,,"How many 6-digit numbers can be formed using the digits 1, 2, 3, 4, 5, 6 (without repetition) such that the number formed is divisible by its unit digit?",,,,,,,,,648,TITA,Modern Maths,Permutations & Combinations,Hard,"Permutations and Combinations, Number Formation, Divisibility Rules, Casework","Permutations and Combinations, Number Formation, Divisibility Rules, Casework",True,MockSet3_QA,,"The digits available are 1, 2, 3, 4, 5, 6. All 6-digit numbers must be formed without repetition.
The number formed must be divisible by its unit digit.
Let the 6-digit number be N.
Sum of digits = 1+2+3+4+5+6 = 21, which is divisible by 3. Any number formed using these 6 digits will be divisible by 3.
Case 1: Unit digit is 1. (xxxxx1)
Any number ending in 1 is divisible by 1.
The remaining 5 digits can be arranged in the first 5 places in 5! = 120 ways.
Case 2: Unit digit is 2. (xxxxx2)
The number must be even, which it is.
The remaining 5 digits can be arranged in 5! = 120 ways.
Case 3: Unit digit is 3. (xxxxx3)
The number must be divisible by 3. Since the sum of all 6 digits is 21 (divisible by 3), any number formed by these digits is divisible by 3.
The remaining 5 digits can be arranged in 5! = 120 ways.
Case 4: Unit digit is 4. (xxxxx4)
The number must be divisible by 4. This means the number formed by the last two digits (tens and units) must be divisible by 4.
The number is _ _ _ _ X 4. X must be chosen from {1,2,3,5,6}.
Possible values for X4 such that X4 is divisible by 4:
If X=1, 14 (not div by 4).
If X=2, 24 (div by 4). Remaining 4 digits {1,3,5,6} can be arranged in 4! = 24 ways.
If X=3, 34 (not div by 4).
If X=5, 54 (not div by 4).
If X=6, 64 (div by 4). Remaining 4 digits {1,2,3,5} can be arranged in 4! = 24 ways.
Total for unit digit 4 = 24 + 24 = 48 ways.
Case 5: Unit digit is 5. (xxxxx5)
The number must be divisible by 5. Ending in 5 guarantees this.
The remaining 5 digits can be arranged in 5! = 120 ways.
Case 6: Unit digit is 6. (xxxxx6)
The number must be divisible by 6. This means it must be divisible by 2 (guaranteed as it ends in 6) AND by 3 (guaranteed as sum of digits is 21).
The remaining 5 digits can be arranged in 5! = 120 ways.
Total number of such numbers = 120 (ends in 1) + 120 (ends in 2) + 120 (ends in 3) + 48 (ends in 4) + 120 (ends in 5) + 120 (ends in 6)
= 5 * 120 + 48 = 600 + 48 = 648."
QA,,Q70,6,,,"Train A, 200m long, travelling at 72 kmph, overtakes Train B, 250m long, travelling in the same direction, in 90 seconds. Train A then crosses a platform of length L meters in 30 seconds. If Train B had been travelling in the opposite direction to Train A (with their original speeds), they would have crossed each other in T seconds. Find the approximate value of L + T.",410,413,415,418,A,B,C,D,B,MCQ,Arithmetic,"Time, Speed & Distance (Problems on Trains)",Hard,"Time Speed Distance, Trains, Relative Speed, Multiple scenarios","Time Speed Distance, Trains, Relative Speed, Multiple scenarios",False,MockSet3_QA,,"Speed of Train A (S_A) = 72 kmph = 72 * (5/18) m/s = 20 m/s. Length of Train A (L_A) = 200m.
Length of Train B (L_B) = 250m. Let speed of Train B be S_B m/s.
Train A overtakes Train B (same direction) in 90 seconds.
Relative speed (S_A - S_B) = (L_A + L_B) / Time
20 - S_B = (200 + 250) / 90 = 450 / 90 = 5 m/s.
S_B = 20 - 5 = 15 m/s. (This is 15 * 18/5 = 54 kmph).
Train A crosses a platform of length L in 30 seconds.
(L_A + L) / S_A = 30
(200 + L) / 20 = 30
200 + L = 600 => L = 400 meters.
If Train B travelled in the opposite direction to Train A:
Relative speed (S_A + S_B) = 20 + 15 = 35 m/s.
Time to cross (T) = (L_A + L_B) / (S_A + S_B) = (200 + 250) / 35 = 450 / 35 = 90 / 7 seconds.
T ≈ 12.857 seconds.
We need L + T = 400 + 90/7 = 400 + 12.8571... = 412.8571...
The closest integer value is 413."
QA,,Q79,7,,,"If the quadratic equations x² + ax + b = 0 and x² + bx + a = 0 (where a ≠ b) have exactly one root in common, find the numerical value of a+b.",,,,,,,,,-1,TITA,Algebra,Quadratic Equations,Hard,"Quadratic Equations, Common Roots, System of Equations","Quadratic Equations, Common Roots, System of Equations",True,MockSet3_QA,,"Let the two quadratic equations be:
(1) x² + ax + b = 0
(2) x² + bx + a = 0
Given a ≠ b and they have exactly one root in common. Let the common root be α.
Then α satisfies both equations:
α² + aα + b = 0
α² + bα + a = 0
Subtracting the second from the first:
(aα + b) - (bα + a) = 0
aα - bα + b - a = 0
α(a - b) - (a - b) = 0
(a - b)(α - 1) = 0
Since a ≠ b, (a - b) ≠ 0. Therefore, we must have α - 1 = 0, which means α = 1.
The common root is 1.
Substitute α = 1 into equation (1) (or (2)):
(1)² + a(1) + b = 0
1 + a + b = 0
a + b = -1.
To ensure there's exactly one common root, the other roots must be different.
Roots of (1) are 1 and β₁. Product of roots = 1 * β₁ = b => β₁ = b.
Roots of (2) are 1 and β₂. Product of roots = 1 * β₂ = a => β₂ = a.
If there is only one common root, then β₁ ≠ β₂ (i.e., b ≠ a), which is given.
Also, the common root α=1 should not be equal to the other root of the same equation if that other root is also common.
If β₁ = 1, then b=1. If β₂ = 1, then a=1.
If a=1, b=-2 (since a+b=-1). Eq1: x²+x-2=0 => (x-1)(x+2)=0. Roots 1, -2.
Eq2: x²-2x+1=0 => (x-1)²=0. Roots 1, 1.
The common root is x=1. This fits the condition ""exactly one root in common"" (the set of roots for eq1 is {1, -2}, for eq2 is {1}. Intersection is {1})."
QA,,Q84,8,,,"Two circles with centers O₁ and O₂ touch each other externally at point P. A common external tangent AB touches the first circle at A and the second circle at B. If the radii of the circles are 9 cm and 4 cm respectively, what is the length of AB?",10 cm,12 cm,13 cm,15 cm,A,B,C,D,B,MCQ,Geometry,"Circles (Properties, Chords, Tangents, Secants)",Medium,"Geometry, Circles, Tangents, Common External Tangent","Geometry, Circles, Tangents, Common External Tangent",False,MockSet3_QA,,"Let the two circles have centers O₁ and O₂ and radii r₁ = 9 cm and r₂ = 4 cm, respectively.
The circles touch each other externally at point P. The distance between their centers is O₁O₂ = r₁ + r₂ = 9 + 4 = 13 cm.
AB is a common external tangent, with A on the first circle and B on the second circle.
The length of a common external tangent (L) between two circles with radii r₁ and r₂ and distance d between their centers is given by the formula:
L = √(d² - (r₁ - r₂)²).
Here, d = O₁O₂ = 13 cm, and r₁ - r₂ = 9 - 4 = 5 cm.
So, AB = √( (13)² - (5)² ).
AB = √(169 - 25).
AB = √(144).
AB = 12 cm."
QA,,Q72,9,,,"A and B together can complete a task in 24 days. B and C together can complete it in 30 days. C and A together can complete it in 40 days. They start working together. A works for all the days until the task is completed. B leaves 4 days before the scheduled completion of work, and C leaves 2 days before the scheduled completion of work. In how many days was the work actually completed? (Enter your answer as a decimal, e.g., 22.33)",,,,,,,,,22.33,TITA,Arithmetic,Time & Work,Hard,"Time and Work, Efficiency, Work with Leavers, System of Equations","Time and Work, Efficiency, Work with Leavers, System of Equations",True,MockSet3_QA,,"Let rates of work be a, b, c for A, B, C respectively.
a + b = 1/24 (1)
b + c = 1/30 (2)
c + a = 1/40 (3)
Adding the three equations: 2(a+b+c) = 1/24 + 1/30 + 1/40.
LCM(24,30,40) = 120.
2(a+b+c) = (5/120) + (4/120) + (3/120) = 12/120 = 1/10.
So, a+b+c = 1/20. This means if all three work together continuously, they finish in 20 days. This is the scheduled completion time.
Individual rates:
c = (a+b+c) - (a+b) = 1/20 - 1/24 = (6-5)/120 = 1/120. (C takes 120 days)
a = (a+b+c) - (b+c) = 1/20 - 1/30 = (3-2)/60 = 1/60. (A takes 60 days)
b = (a+b+c) - (c+a) = 1/20 - 1/40 = (2-1)/40 = 1/40. (B takes 40 days)
Let total work be 120 units (LCM of 60, 40, 120).
A's work rate = 120/60 = 2 units/day.
B's work rate = 120/40 = 3 units/day.
C's work rate = 120/120 = 1 unit/day.
Scheduled completion time = 20 days.
B leaves 4 days before scheduled completion, so B works for 20 - 4 = 16 days. (This interpretation is if ""scheduled completion"" is fixed).
The question says ""B leaves 4 days before the scheduled completion of work"". This usually means if the work was supposed to end in T_sched days, B leaves at T_sched - 4.
However, the phrasing ""actual completion"" implies the schedule might change.
A more standard interpretation: Let D be the actual number of days the work was completed.
A works for D days. Work done by A = 2D.
B leaves 4 days before actual completion, so B works for (D-4) days. Work by B = 3(D-4).
C leaves 2 days before actual completion, so C works for (D-2) days. Work by C = 1(D-2).
Total work = 2D + 3(D-4) + 1(D-2) = 120.
2D + 3D - 12 + D - 2 = 120.
6D - 14 = 120.
6D = 134.
D = 134/6 = 67/3 = 22.333... days.
The question asks for answer as a decimal e.g. 22.33."
QA,,Q81,10,,,"If f(x+1/x) = x² + 1/x² for x ≠ 0, find the value of f(3).",5,7,9,11,A,B,C,D,B,MCQ,Algebra,"Functions (Domain, Range, Types, Graphs, Inverse)",Medium,"Functions, Evaluating Functions, Algebraic Manipulation","Functions, Evaluating Functions, Algebraic Manipulation",False,MockSet3_QA,,"Given f(x+1/x) = x² + 1/x².
Let y = x + 1/x.
We want to express x² + 1/x² in terms of y.
Squaring y: y² = (x + 1/x)² = x² + (1/x)² + 2(x)(1/x) = x² + 1/x² + 2.
So, x² + 1/x² = y² - 2.
Therefore, f(y) = y² - 2.
We need to find f(3). This means we set y = 3.
f(3) = (3)² - 2 = 9 - 2 = 7."
QA,,Q73,11,,,"Pipe A can fill a tank in 12 hours and Pipe B can fill the same tank in 15 hours. Pipe C can empty the full tank in 10 hours. Initially, pipes A and B are opened. After 5 hours, pipe C is also opened. In how many more hours will the tank be completely filled?",,,,,,,,,5,TITA,Arithmetic,Pipes & Cisterns,Medium,"Pipes and Cisterns, Filling and Emptying, Combined Work","Pipes and Cisterns, Filling and Emptying, Combined Work",True,MockSet3_QA,,"Rate of Pipe A = +1/12 of tank per hour (filling).
Rate of Pipe B = +1/15 of tank per hour (filling).
Rate of Pipe C = -1/10 of tank per hour (emptying).
For the first 5 hours, only pipes A and B are open.
Combined rate of A and B = (1/12) + (1/15).
LCM of 12 and 15 is 60.
Combined rate (A+B) = (5/60) + (4/60) = 9/60 = 3/20 of tank per hour.
In 5 hours, fraction of tank filled by A and B = (3/20) × 5 = 15/20 = 3/4.
Remaining fraction of tank to be filled = 1 - 3/4 = 1/4.
After 5 hours, pipe C is also opened. The new combined rate for A, B, and C is:
New combined rate (A+B+C) = (1/12) + (1/15) - (1/10).
= (5/60) + (4/60) - (6/60) = (5+4-6)/60 = 3/60 = 1/20 of tank per hour.
Since the rate is positive (+1/20), the tank will continue to be filled.
Time required to fill the remaining 1/4 of the tank = (Remaining fraction) / (New combined rate)
= (1/4) / (1/20) = (1/4) × 20 = 5 hours.
So, it will take 5 more hours for the tank to be completely filled."
QA,,Q69,12,,,The difference between the compound interest and simple interest on a certain sum of money for 2 years at 10% per annum is Rs. 150. Find the principal sum in Rs.,,,,,,,,,15000,TITA,Arithmetic,"Simple Interest, Compound Interest",Easy,"Simple Interest, Compound Interest, Difference between SI and CI","Simple Interest, Compound Interest, Difference between SI and CI",True,MockSet3_QA,,"Let P be the principal sum and R be the rate of interest per annum.
Given R = 10% per annum, Time (T) = 2 years.
The difference between Compound Interest (CI) and Simple Interest (SI) on a sum P for 2 years at rate R is given by the formula:
Difference = P × (R/100)²
Given Difference = Rs. 150.
150 = P × (10/100)²
150 = P × (1/10)²
150 = P × (1/100)
P = 150 × 100
P = 15,000.
The principal sum is Rs. 15,000."
QA,,Q77,13,,,"Find the sum of the digits of the smallest four-digit number which when divided by 12, 15, 18, and 27 leaves remainders 8, 11, 14, and 23 respectively.",,,,,,,,,14,TITA,Number System,HCF & LCM,Hard,"Number System, LCM, Remainders, Smallest N-digit number, Sum of digits","Number System, LCM, Remainders, Smallest N-digit number, Sum of digits",True,MockSet3_QA,,"Let the number be N.
When N is divided by 12, remainder is 8. (12 - 8 = 4)
When N is divided by 15, remainder is 11. (15 - 11 = 4)
When N is divided by 18, remainder is 14. (18 - 14 = 4)
When N is divided by 27, remainder is 23. (27 - 23 = 4)
The difference between the divisor and the remainder is constant (4).
So, N = k * LCM(12, 15, 18, 27) - 4.
Calculate LCM(12, 15, 18, 27):
12 = 2² × 3
15 = 3 × 5
18 = 2 × 3²
27 = 3³
LCM = 2² × 3³ × 5 = 4 × 27 × 5 = 20 × 27 = 540.
So, N = 540k - 4.
We need the smallest four-digit number.
If k=1, N = 540 × 1 - 4 = 536 (This is a 3-digit number).
If k=2, N = 540 × 2 - 4 = 1080 - 4 = 1076 (This is a 4-digit number).
This is the smallest four-digit number satisfying the conditions.
The sum of the digits of N = 1 + 0 + 7 + 6 = 14."
QA,,Q88,14,,,"A bag contains 4 red, 5 blue, and 6 green balls. Three balls are drawn one by one without replacement. What is the probability that the three balls are of different colors? (Enter your answer as a fraction a/b in simplest form, then type the value of a+b).",,,,,,,,,115,TITA,Modern Maths,Probability,Hard,"Probability, Combinatorics, Drawing without replacement, Different Colors","Probability, Combinatorics, Drawing without replacement, Different Colors",True,MockSet3_QA,,"Total balls = 4 Red (R) + 5 Blue (B) + 6 Green (G) = 15 balls.
Three balls are drawn one by one without replacement. We want the probability that all three are of different colors.
This means we draw one Red, one Blue, and one Green ball.
The possible orders for drawing three different colored balls are 3! = 6: (RBG, RGB, BRG, BGR, GRB, GBR).
Let's calculate the probability for one specific order, e.g., R then B then G:
P(R then B then G) = P(1st is R) * P(2nd is B | 1st is R) * P(3rd is G | 1st is R, 2nd is B)
= (4/15) * (5/14) * (6/13)
= (4 * 5 * 6) / (15 * 14 * 13) = 120 / 2730.
Since there are 6 such equally probable orders, the total probability is:
P(3 different colors) = 6 * P(R then B then G)
= 6 * (120 / 2730) = 720 / 2730.
Simplify the fraction:
720/2730 = 72/273.
Both 72 and 273 are divisible by 3:
72 = 3 * 24
273 = 3 * 91
So, 72/273 = 24/91.
The prime factorization of 91 is 7 * 13. 24 is not divisible by 7 or 13.
So, the fraction 24/91 is in simplest form.
Here, a = 24 and b = 91.
a + b = 24 + 91 = 115."
