CognitiveSkillLevel,ConceptTested,CorrectAnswerValue,DetailedTags,DifficultyLevelPredicted,IsTITA,OptionAText,OptionAValue,OptionBText,OptionBValue,OptionCText,OptionCValue,OptionDText,OptionDValue,PassageOrSetContent,PassageOrSetID,QuestionNumberInSection,QuestionPrompt,QuestionType,QuestionUniqueID,SectionName,SectionTimeLimitMinutes,SetID,SolutionExplanation,SubTopic,Topic
Application,Sum and Nth Term of Arithmetic Progression,59,"Arithmetic Progression, Sum of AP",Easy,False,59,59,63,63,67,67,71,71,,,1,"The sum of the first 11 terms of an arithmetic progression is 253. If the sum of the first 6 terms is 78, what is the value of the 15th term of this progression?",MCQ,Q45,Quantitative Ability,40,MockSet1_QA,"Let the arithmetic progression have first term 'a' and common difference 'd'.
Sum of first n terms = Sₙ = (n/2)[2a + (n-1)d].
Given S₁₁ = 253:
(11/2)[2a + (11-1)d] = 253 => 11(a + 5d) = 253 => a + 5d = 23 ...(1)
Given S₆ = 78:
(6/2)[2a + (6-1)d] = 78 => 3[2a + 5d] = 78 => 2a + 5d = 26 ...(2)
Subtracting equation (1) from equation (2): (2a + 5d) - (a + 5d) = 26 - 23 => a = 3.
Substitute a = 3 into equation (1): 3 + 5d = 23 => 5d = 20 => d = 4.
The 15th term, T₁₅ = a + (15-1)d = a + 14d = 3 + 14(4) = 3 + 56 = 59.
The correct option is A.","Sequences & Series (AP, GP, HP, Special Series)",Algebra
Analysis,Properties of Touching Circles and Inscribed Circles,49π * ( (2/√3) - 1 )²,"Touching Circles, Inscribed Circle, Equilateral Triangle, Area Calculation",Hard,False,(49/3) * (7 - 4√3)π,(49/3) * (7 - 4√3)π,49π * (2 - √3)²,49π * (2 - √3)²,49π * ( (2/√3) - 1 )²,49π * ( (2/√3) - 1 )²,(49/9) * (4√3 - 7)π,(49/9) * (4√3 - 7)π,,,2,"Three circles, each of radius 7 cm, touch each other externally. What is the area (in cm²) of the largest circle that can be inscribed in the region bounded by these three circles, touching all of them?",MCQ,Q46,Quantitative Ability,40,MockSet1_QA,"Let r be the radius of the three equal circles, so r = 7 cm. The centers of the three circles form an equilateral triangle with side length 2r = 14 cm. The center of the small inscribed circle is the centroid of this triangle. The radius (R_s) can be found by subtracting the radius 'r' from the distance between the triangle's vertex and its centroid. This leads to the formula:
R_s = r * ( (2/√3) - 1 ).
R_s = 7 * ( (2/√3) - 1 ) cm.
Area of this small inscribed circle = π * (R_s)² = π * [7 * ( (2/√3) - 1 )]² = 49π * ( (2/√3) - 1 )².
The correct option is C.","Circles (Properties, Chords, Tangents, Secants)",Geometry
Application,Ratio and Proportion in Age-based problems,60,"Ages, Ratio, Linear Equations",Easy,False,40,40,50,50,60,60,70,70,,,3,"The present ages of Arin and Bipul are in the ratio 3:4. Ten years ago, the ratio of Arin's age to their age difference was 2:1. In how many years from now will Arin's age be 90% of Bipul's age?",MCQ,Q47,Quantitative Ability,40,MockSet1_QA,"Let the present ages of Arin and Bipul be 3x and 4x respectively.
Their age difference is 4x - 3x = x.
Ten years ago, Arin's age was 3x - 10.
Given ratio: (Arin's age ten years ago) / (Their age difference) = 2:1
(3x - 10) / x = 2/1 => 3x - 10 = 2x => x = 10.
Present ages: Arin = 3(10) = 30 years, Bipul = 4(10) = 40 years.
Let 'y' be the number of years from now when Arin's age will be 90% of Bipul's age.
Arin's age after y years = 30 + y. Bipul's age after y years = 40 + y.
30 + y = 0.90 * (40 + y) => 30 + y = (9/10) * (40 + y) => 300 + 10y = 360 + 9y => y = 60.
The correct option is C.","Ratio, Proportion & Variation",Arithmetic
Application,Properties of Logarithms,9,"Logarithm Properties, Solving Logarithmic Equations",Medium,True,,,,,,,,,,,4,"If x is a positive real number such that log₃(x² + 6x + k) + log₁̸₃(x + 3) = log₃(x+3), find the value of k.",TITA,Q48,Quantitative Ability,40,MockSet1_QA,"The equation is log₃(x² + 6x + k) + log₁̸₃(x + 3) = log₃(x+3).
This can be rewritten as log₃(x² + 6x + k) - log₃(x + 3) = log₃(x+3).
log₃(x² + 6x + k) = 2log₃(x + 3).
log₃(x² + 6x + k) = log₃((x + 3)²).
Equating the arguments:
x² + 6x + k = (x + 3)²
x² + 6x + k = x² + 6x + 9
k = 9.
Domain check: For k=9, x²+6x+9 = (x+3)². Since x > 0, (x+3)² > 0. The argument is valid.
The answer is 9.",Logarithms,Algebra
Application,Successive Percentage Change,40000,"Percentage Increase, Percentage Decrease, Population",Easy,False,39000,39000,40000,40000,40500,40500,41000,41000,,,5,"The population of a town increased by 15% from 2019 to 2020, and then decreased by 10% from 2020 to 2021. If the population in 2021 was 41,400, what was the population in 2019?",MCQ,Q49,Quantitative Ability,40,MockSet1_QA,"Let the population in 2019 be P.
Population in 2020 = P * (1 + 15/100) = P * 1.15.
Population in 2021 = (P * 1.15) * (1 - 10/100) = P * 1.15 * 0.90 = P * 1.035.
Given population in 2021 is 41,400.
P * 1.035 = 41,400
P = 41,400 / 1.035 = 40,000.
The population in 2019 was 40,000.
The correct option is B.",Percentages,Arithmetic
Analysis,Profit/Loss with Marked Price and Successive Discounts,300,"Cost Price, Marked Price, Successive Discounts, Profit Calculation",Medium,False,240,240,260,260,280,280,300,300,,,6,"A shopkeeper bought an item for Rs. X. He marked it up by 60%. He then sold it to a customer after offering two successive discounts of 20% and 15%. In this transaction, the shopkeeper made a profit of Rs. 220. If he had sold the item after a single discount of 30% on the marked price, what would have been his profit in Rs.?",MCQ,Q50,Quantitative Ability,40,MockSet1_QA,"Let the cost price (CP) be Rs. X. Marked Price (MP) = 1.6X.
SP after two successive discounts (20%, 15%) = 1.6X * 0.80 * 0.85 = 1.6X * 0.68 = 1.088X.
Profit = SP - CP = 1.088X - X = 0.088X.
Given profit = Rs. 220. So, 0.088X = 220 => X = 220 / 0.088 = 2500.
CP = Rs. 2500. MP = 1.6 * 2500 = Rs. 4000.
If sold after a single discount of 30% on MP:
New SP = MP * (1 - 0.30) = 4000 * 0.70 = Rs. 2800.
New Profit = New SP - CP = 2800 - 2500 = Rs. 300.
The correct option is D.","Profit, Loss & Discount",Arithmetic
Analysis,"Volume of Frustum and Sphere, Recasting of Solids",3185,"Cone, Frustum, Sphere, Volume, Recasting Solids, Similar Cones",Hard,True,,,,,,,,,,,7,"A right circular cone has a base radius of 21 cm and a height of 30 cm. It's sliced by a plane parallel to its base at 1/3rd of its height from the vertex. The smaller cone (top part) is removed. If the remaining frustum is melted and recast into a solid sphere, find the cube of the radius of this sphere.",TITA,Q51,Quantitative Ability,40,MockSet1_QA,"Original cone: base radius R = 21 cm, height H = 30 cm.
Volume of original cone V_orig = (1/3)πR²H = (1/3)π(21)²(30) = 4410π cm³.
The cone is sliced at height h_s = H/3 from the vertex. The volume of the small cone removed is V_small = (h_s/H)³ * V_orig = (1/3)³ * V_orig = V_orig / 27.
Volume of frustum V_f = V_orig - V_small = V_orig * (1 - 1/27) = (26/27) * V_orig.
V_f = (26/27) * 4410π.
This is melted and recast into a sphere of radius r_sp. Volume of sphere V_sp = (4/3)π(r_sp)³.
Setting volumes equal: (4/3)π(r_sp)³ = (26/27) * 4410π.
(r_sp)³ = (26/27) * 4410 * (3/4) = (26 * 4410) / 36 = (13 * 4410) / 18 = 13 * 245 = 3185.
The question asks for the cube of the radius, which is (r_sp)³.
The answer is 3185.","Mensuration - 3D (Volume & Surface Area: Cubes, Cuboids, Cylinders, Cones, Spheres, Prisms, Pyramids, Frustum)",Geometry
Application,Calculating CI Rate and applying it to find SI,4800,"Compound Interest, Simple Interest, Rate Calculation",Medium,False,Rs. 4800,4800,Rs. 5400,5400,Rs. 4500,4500,Rs. 6000,6000,,,8,"A sum of money amounts to Rs. 10368 in 2 years and Rs. 11197.44 in 3 years at a certain rate percent per annum, when interest is compounded annually. What is the simple interest on a sum of Rs. 15000 at the same rate of interest for 4 years?",MCQ,Q52,Quantitative Ability,40,MockSet1_QA,"Let P be the principal and r be the annual interest rate.
Amount after 2 years = P(1 + r/100)² = 10368 ...(1)
Amount after 3 years = P(1 + r/100)³ = 11197.44 ...(2)
Divide (2) by (1): (1 + r/100) = 11197.44 / 10368 = 1.08.
So, r/100 = 0.08 => r = 8%.
Simple Interest (SI) = (Principal * Rate * Time) / 100.
SI = (15000 * 8 * 4) / 100 = 150 * 32 = 4800.
The correct option is A.",Compound Interest,Arithmetic
Application,Composite Divisibility Rules,2,"Divisibility by 72, Divisibility by 8, Divisibility by 9, Multiple cases",Medium,False,2,2,5,5,7,7,11,11,,,9,A five-digit number 7A5B4 is divisible by 72. What is the smallest possible value of A + B?,MCQ,Q53,Quantitative Ability,40,MockSet1_QA,"The number 7A5B4 must be divisible by 72, so by 8 and 9.
Divisibility by 8: Last three digits 5B4 must be divisible by 8.
Possible values for 5B4 are 504 (B=0), 544 (B=4), 584 (B=8).
Divisibility by 9: Sum of digits 7+A+5+B+4 = 16+A+B must be divisible by 9.
Case 1: B=0. Sum = 16+A. For 16+A to be divisible by 9, 16+A = 18 => A=2. (A+B = 2+0 = 2).
Case 2: B=4. Sum = 16+A+4 = 20+A. For 20+A to be divisible by 9, 20+A = 27 => A=7. (A+B = 7+4 = 11).
Case 3: B=8. Sum = 16+A+8 = 24+A. For 24+A to be divisible by 9, 24+A = 27 => A=3. (A+B = 3+8 = 11).
The possible values for A+B are 2 and 11. The smallest possible value is 2.
The correct option is A.",Divisibility Rules,Number System
Application,Application of Remainder Theorem,13,"Remainder Theorem, Solving System of Linear Equations",Medium,True,,,,,,,,,,,10,"A polynomial P(x) = x³ + ax² + bx + c leaves a remainder of 7 when divided by (x-1), a remainder of 10 when divided by (x-2), and P(0) = -2. What is the value of P(3)?",TITA,Q54,Quantitative Ability,40,MockSet1_QA,"P(x) = x³ + ax² + bx + c.
By Remainder Theorem, P(1) = 7 and P(2) = 10.
Given P(0) = -2. P(0) = 0³ + a(0)² + b(0) + c = c. So, c = -2.
P(1) = 1³ + a(1)² + b(1) + c = 1 + a + b - 2 = 7 => a + b = 8. ...(i)
P(2) = 2³ + a(2)² + b(2) + c = 8 + 4a + 2b - 2 = 10 => 4a + 2b = 4 => 2a + b = 2. ...(ii)
Subtracting equation (i) from (ii): (2a + b) - (a + b) = 2 - 8 => a = -6.
Substitute a = -6 into (i): -6 + b = 8 => b = 14.
So, P(x) = x³ - 6x² + 14x - 2.
We need to find P(3).
P(3) = 3³ - 6(3²) + 14(3) - 2 = 27 - 54 + 42 - 2 = 13.
The answer is 13.",Polynomials (Higher degree equations),Algebra
