CognitiveSkillLevel,ConceptTested,CorrectAnswerValue,DetailedTags,DifficultyLevelPredicted,IsTITA,OptionAText,OptionAValue,OptionBText,OptionBValue,OptionCText,OptionCValue,OptionDText,OptionDValue,PassageOrSetContent,PassageOrSetID,QuestionNumberInSection,QuestionPrompt,QuestionType,QuestionUniqueID,SectionName,SectionTimeLimitMinutes,SetID,SolutionExplanation,SubTopic,Topic
Analyzing,"Profit, Loss & Discount",2,"Weighted Average Profit/Loss, Alligation Application, Investment",Medium,False,"Rs. 40,000",1.0,"Rs. 45,000",2.0,"Rs. 50,000",3.0,"Rs. 55,000",4.0,,,1,"A person invested a total sum of Rs. 80,000 in two types of shares, P and Q. At the end of one year, shares of type P yielded a profit of 15% and shares of type Q yielded a loss of 5%. If the person's overall net gain was Rs. 5,000, what was the amount invested in shares of type P?",MCQ,Q67,QA,40,MockSet1_QA,"Let the amount invested in shares of type P be Rs. x.
Then the amount invested in shares of type Q is Rs. (80000 – x).
Profit from shares P = 15% of x = 0.15x.
Loss from shares Q = 5% of (80000 – x) = 0.05(80000 – x).
Overall net gain = Profit from P – Loss from Q.
5000 = 0.15x – 0.05(80000 – x)
5000 = 0.15x – 4000 + 0.05x
9000 = 0.20x
x = 9000 / 0.20 = 45000.
Amount invested in shares of type P = Rs. 45,000.
The correct option is (2).","Profit, Loss & Discount",Arithmetic
Applying,"Triangles (Properties, Congruence, Similarity)",2,"Angle Bisector, Incenter, Properties of Incenter",Easy,False,105°,1.0,115°,2.0,125°,3.0,130°,4.0,,,2,"In ΔABC, the internal bisector of ∠B meets AC at D and the internal bisector of ∠C meets AB at E. These bisectors intersect at I. If ∠A = 50°, find ∠BIC.",MCQ,Q68,QA,40,MockSet1_QA,"The internal bisector of ∠B and the internal bisector of ∠C intersect at I. The intersection point of the internal angle bisectors of a triangle is the incenter.
The angle subtended by any side at the incenter is given by the formula:
∠BIC = 90° + (∠A / 2)
Given ∠A = 50°.
∠BIC = 90° + (50° / 2)
∠BIC = 90° + 25°
∠BIC = 115°.
The correct option is (2).","Triangles (Properties, Congruence, Similarity)",Geometry
Analyzing,"Sequences & Series (AP, GP, HP, Special Series)",2,"Geometric Progression, Sum of GP terms, Ratio of Sums",Medium,False,2,1.0,3,2.0,4,3.0,9,4.0,,,3,"In a geometric progression of positive terms, the sum of the first three terms is 26. The sum of the next three terms (i.e., the 4th, 5th, and 6th terms) is 702. What is the common ratio of the progression?",MCQ,Q69,QA,40,MockSet1_QA,"Let the first term be 'a' and the common ratio be 'r'.
Sum of first three terms: S₃ = a + ar + ar² = a(1 + r + r²) = 26. (Equation 1)
The next three terms are ar³, ar⁴, and ar⁵.
Sum of next three terms = ar³ + ar⁴ + ar⁵ = ar³(1 + r + r²) = 702. (Equation 2)
Divide Equation 2 by Equation 1:
[ar³(1 + r + r²)] / [a(1 + r + r²)] = 702 / 26
r³ = 27
r = 3.
The correct option is (2).","Sequences & Series (AP, GP, HP, Special Series)",Algebra
Evaluating,"Time, Speed & Distance (General)",2,"Train Accident Problem, Variable Speed, System of Equations",Hard,False,40,1.0,50,2.0,60,3.0,75,4.0,,,4,"A train starts its journey from station A to station B. After travelling for 2 hours, it develops an engine snag and its speed reduces to 4/5 of its usual speed, causing it to reach station B 45 minutes late. If the snag had occurred 30 km further, it would have reached station B only 36 minutes late. What is the usual speed of the train in km/hr?",MCQ,Q70,QA,40,MockSet1_QA,"Let the usual speed of the train be S km/hr.
In the first scenario, a delay of 45 minutes occurs. In the second, the snag is 30 km further, and the delay is 36 minutes.
The reduction in delay (45 - 36 = 9 minutes) is because the 30 km segment was covered at the usual speed S instead of the reduced speed (4/5)S.
Time saved = 9 minutes = 9/60 hours = 3/20 hours.
Time to cover 30 km at speed S = 30/S hours.
Time to cover 30 km at speed (4/5)S = 30 / ((4/5)S) = 37.5/S hours.
The difference in these times is the time saved:
(37.5/S) - (30/S) = 3/20
7.5/S = 3/20
S = (7.5 * 20) / 3 = 150 / 3 = 50 km/hr.
The correct option is (2).","Time, Speed & Distance (General)",Arithmetic
Evaluating,Time & Work,14,"Cyclic Work, Multiple Workers, Variable Work Rate per Cycle",Hard,True,,,,,,,,,,,5,"Anil can complete a job in 20 days, Bimal in 30 days, and Charan in 60 days. They decide to work on a schedule: Anil works alone on day 1. Anil and Bimal work together on day 2. Anil, Bimal, and Charan work together on day 3. This 3-day cycle repeats. The work is completed on the Nth day. Find N.",TITA,Q71,QA,40,MockSet1_QA,"Let total work be LCM(20, 30, 60) = 60 units.
Anil's rate = 60/20 = 3 units/day.
Bimal's rate = 60/30 = 2 units/day.
Charan's rate = 60/60 = 1 unit/day.
Day 1 (Anil): 3 units done.
Day 2 (Anil + Bimal): 3 + 2 = 5 units done.
Day 3 (Anil + Bimal + Charan): 3 + 2 + 1 = 6 units done.
Work done in 1 cycle (3 days) = 3 + 5 + 6 = 14 units.
Number of full cycles to get close to 60 units = Floor(60/14) = 4 cycles.
Work done in 4 cycles = 4 * 14 = 56 units.
Days taken for 4 cycles = 4 * 3 = 12 days.
Remaining work = 60 - 56 = 4 units.
On Day 13, Anil works alone and does 3 units.
Remaining work = 4 - 3 = 1 unit.
On Day 14, Anil and Bimal work together. They can do 5 units in a full day. Since only 1 unit of work is left, it will be completed on the 14th day.
So, N = 14.
Answer: 14",Time & Work,Arithmetic
Evaluating,Averages & Weighted Averages,3,"Arithmetic Mean, Number Properties, Patterned Numbers (AABB), Even Numbers",Hard,False,5500,1.0,5522,2.0,5544,3.0,5566,4.0,,,6,"Consider all 4-digit numbers of the form 'AABB' where A and B are digits, A > 0, and the number AABB is even. What is the arithmetic mean of all such numbers?",MCQ,Q72,QA,40,MockSet1_QA,"A number of the form AABB can be written as 1100A + 11B.
The arithmetic mean of such numbers is Mean(1100A + 11B).
Using the property of averages, Mean(ax + by) = a*Mean(x) + b*Mean(y).
Mean = 1100 * Mean(A) + 11 * Mean(B).
Possible values for A (since A > 0) are {1, 2, 3, 4, 5, 6, 7, 8, 9}.
The mean of A is (1 + 9) / 2 = 5.
The number AABB is even, so B must be an even digit. The possible values for B are {0, 2, 4, 6, 8}.
The mean of B is (0 + 8) / 2 = 4.
Arithmetic Mean = 1100(5) + 11(4) = 5500 + 44 = 5544.
The correct option is (3).",Averages & Weighted Averages,Arithmetic
Analyzing,Mixtures & Alligations,9,"Mixture Replacement, Ratio Change, Maintaining Total Volume",Medium,True,,,,,,,,,,,7,A 90-liter mixture contains milk and water in the ratio 8:1. How many liters of the mixture must be removed and replaced with an equal amount of pure water so that the ratio of milk to water in the new mixture becomes 4:1?,TITA,Q73,QA,40,MockSet1_QA,"Initial mixture: 90 liters. Milk : Water = 8:1.
Initial Milk = (8/9) * 90 = 80 liters.
Initial Water = (1/9) * 90 = 10 liters.
Let x liters of mixture be removed and replaced with x liters of pure water.
Milk removed = (8/9)x. Water removed = (1/9)x.
New Milk quantity = 80 - (8/9)x.
New Water quantity = (10 - (1/9)x) + x = 10 + (8/9)x.
The new ratio of milk to water is 4:1.
(80 - (8/9)x) / (10 + (8/9)x) = 4/1
80 - (8/9)x = 40 + (32/9)x
40 = (40/9)x
x = 9.
So, 9 liters must be removed and replaced.
Answer: 9",Mixtures & Alligations,Arithmetic
Evaluating,Partnership,51700,"Partnership with Changing Capital, Time-Weighted Investment, Profit Sharing Ratio",Hard,True,,,,,,,,,,,8,"Anil and Sunil start a business. Anil invests Rs. 40,000 for the entire year. Sunil invests Rs. 60,000 initially, but withdraws Rs. 20,000 after 4 months, and then invests an additional Rs. 10,000 after another 4 months (i.e., 8 months from start). If the total profit at the end of the year is Rs. 93,060, what is Sunil's share of the profit (in Rs.)?",TITA,Q74,QA,40,MockSet1_QA,"Anil's equivalent investment for 1 month = 40,000 * 12 = 480,000.
Sunil's investment stages:
1. First 4 months: 60,000 * 4 = 240,000.
2. Next 4 months (capital becomes 60k-20k=40k): 40,000 * 4 = 160,000.
3. Last 4 months (capital becomes 40k+10k=50k): 50,000 * 4 = 200,000.
Sunil's total equivalent investment = 240,000 + 160,000 + 200,000 = 600,000.
Ratio of profits (Anil : Sunil) = 480,000 : 600,000 = 48:60 = 4:5.
Total profit = Rs. 93,060.
Sunil's share = (5 / (4+5)) * 93,060 = (5/9) * 93,060 = 5 * 10,340 = Rs. 51,700.
Answer: 51700",Partnership,Arithmetic
Analyzing,"Time, Speed & Distance (Races - Linear & Circular)",2,"Circular Motion, Distinct Meeting Points, Relative Speed, Same Direction",Medium,True,,,,,,,,,,,9,"Two runners A and B run on a circular track of length 720m with speeds 18 m/s and 6 m/s respectively, starting from the same point P at the same time and in the same direction. How many distinct points on the track will they meet at?",TITA,Q75,QA,40,MockSet1_QA,"Track length L = 720m.
Speed of A (S_A) = 18 m/s. Speed of B (S_B) = 6 m/s.
They run in the same direction.
The number of distinct meeting points depends on the ratio of the speeds.
Ratio of speeds = S_A : S_B = 18 : 6 = 3 : 1.
This simplified ratio means that in the time Runner A completes 3 laps, Runner B completes 1 lap. In this period, A gains (3-1) = 2 laps on B. These 2 overtakes occur at two distinct, equally spaced points on the track.
The number of distinct meeting points is the absolute difference of the terms in the simplified speed ratio.
Distinct meeting points = |3 - 1| = 2.
Answer: 2","Time, Speed & Distance (Races - Linear & Circular)",Arithmetic
Analyzing,Number of Factors & Sum of Factors,2,"Number of Divisors, Prime Factorization, Smallest Number with Properties",Medium,False,40,1.0,48,2.0,80,3.0,120,4.0,,,10,N is the smallest positive integer which has exactly 10 factors and is a multiple of 8. Find N.,MCQ,Q76,QA,40,MockSet1_QA,"N has exactly 10 factors. For a number N = p₁ᵃ¹ p₂ᵃ²..., the number of factors τ(N) = (a₁+1)(a₂+1)...
10 can be factored as 10 or 5 × 2.
This implies N must be of the form p⁹ or p⁴q¹.
N is a multiple of 8 (2³).
Case 1: N = p⁹.
If p=2, N = 2⁹ = 512. This is a multiple of 2³.
If p is any other prime, N is odd and not a multiple of 8.
Candidate from this case: 512.
Case 2: N = p⁴q¹.
Since N is a multiple of 2³, one of the primes must be 2.
Subcase 2.1: p = 2. N = 2⁴q¹ = 16q. This is always a multiple of 8. To make N the smallest, we choose the smallest prime q ≠ 2, so q=3. N = 16 * 3 = 48.
Subcase 2.2: q = 2. N = p⁴ * 2¹. For N to be a multiple of 8, p⁴ must be a multiple of 4. As p is a prime ≠ 2, p is odd, so p⁴ is odd and cannot be a multiple of 4. No solution here.
Comparing the candidates 512 and 48, the smallest is 48.
The correct option is (2).",Number of Factors & Sum of Factors,Number System
