CognitiveSkillLevel,ConceptTested,CorrectAnswerValue,DetailedTags,DifficultyLevelPredicted,IsTITA,OptionAText,OptionAValue,OptionBText,OptionBValue,OptionCText,OptionCValue,OptionDText,OptionDValue,PassageOrSetContent,PassageOrSetID,QuestionNumberInSection,QuestionPrompt,QuestionType,QuestionUniqueID,SectionName,SectionTimeLimitMinutes,SetID,SolutionExplanation,SubTopic,Topic
,"Profit, Loss & Discount",4,"Percentages, Multi-stage transactions",Hard,False,Rs. 120,1,Rs. 125,2,Rs. 150,3,Rs. 100,4,,,1,"A shopkeeper bought a certain number of articles. He sold 40% of them at a 50% profit, 25% of the remaining at a 20% loss, and 60% of the new remainder at a 25% profit. The rest of the articles, 36 in number, he sold at a 10% loss. If his overall profit was Rs. 4390, what was the cost price of each article?",MCQ,836209173,Quantitative Ability,,MockSet1_QA,"Let the total number of articles be N and the cost price of each article be C.
Number of articles in the first batch = 0.4N. Profit on these = 0.4N × C × 0.50 = 0.2NC.
Remaining articles = N - 0.4N = 0.6N.
Number of articles in the second batch = 0.25 × 0.6N = 0.15N. Loss on these = 0.15N × C × 0.20 = 0.03NC.
Remaining articles = 0.6N - 0.15N = 0.45N.
Number of articles in the third batch = 0.60 × 0.45N = 0.27N. Profit on these = 0.27N × C × 0.25 = 0.0675NC.
Number of articles in the fourth batch (rest) = N - (0.4N + 0.15N + 0.27N) = N - 0.82N = 0.18N.
Given that the rest of the articles are 36 in number, so 0.18N = 36.
This means N = 36 / 0.18 = 3600 / 18 = 200 articles.
Loss on the fourth batch = (0.18N) × C × 0.10 = 0.018NC.
Overall profit = (Profit from batch 1) - (Loss from batch 2) + (Profit from batch 3) - (Loss from batch 4)
Overall profit = 0.2NC - 0.03NC + 0.0675NC - 0.018NC
Overall profit = NC × (0.20 - 0.03 + 0.0675 - 0.018)
Overall profit = NC × (0.17 + 0.0675 - 0.018)
Overall profit = NC × (0.2375 - 0.018)
Overall profit = NC × 0.2195.
Given overall profit = Rs. 4390.
Substituting N = 200:
200 × C × 0.2195 = 4390.
43.9C = 4390.
C = 4390 / 43.9 = 43900 / 439 = 100.
The cost price of each article is Rs. 100.
The correct option is (D).","Profit, Loss & Discount",Arithmetic
,"Sequences & Series (AP, GP, HP, Special Series)",-105,"Arithmetic Progression, Sum of terms properties",Hard,True,,,,,,,,,,,2,"The sum of the 3rd and 15th elements of an arithmetic progression is equal to the sum of the 6th, 10th, and 12th elements of the same progression. If the 8th element is 21, what is the sum of the first 20 elements of this AP? (TITA)",TITA,862830954,Quantitative Ability,,MockSet1_QA,"Let the arithmetic progression have first term 'a' and common difference 'd'.
The n-th term is Tₙ = a + (n-1)d.
Given: T₃ + T₁₅ = T₆ + T₁₀ + T₁₂.
(a + 2d) + (a + 14d) = (a + 5d) + (a + 9d) + (a + 11d).
2a + 16d = 3a + 25d.
Subtract 2a from both sides: 16d = a + 25d.
So, a = 16d - 25d = -9d.
Given: The 8th element T₈ = 21.
T₈ = a + (8-1)d = a + 7d = 21.
Substitute a = -9d into this equation:
-9d + 7d = 21.
-2d = 21.
d = -21/2 = -10.5.
Now find 'a': a = -9d = -9 × (-10.5) = 94.5.
The sum of the first n elements is Sₙ = (n/2) × [2a + (n-1)d].
We need S₂₀:
S₂₀ = (20/2) × [2a + (20-1)d] = 10 × [2a + 19d].
S₂₀ = 10 × [2(94.5) + 19(-10.5)].
S₂₀ = 10 × [189 - 199.5].
S₂₀ = 10 × [-10.5] = -105.
The sum of the first 20 elements is -105.","Sequences & Series (AP, GP, HP, Special Series)",Algebra
,"Functions (Domain, Range, Types, Graphs, Inverse)",2,"Modulus function, Minima-Maxima in interval",Hard,False,1,1,3.5,2,6,3,0,4,,,3,"Let f(x) = |x - 2| + |x - 5| + |x - a|. For what value of 'a' is the sum of the minimum and maximum values of f(x) in the interval [2, 5] equal to 7.5? (The interval [2, 5] includes both 2 and 5).",MCQ,501192837,Quantitative Ability,,MockSet1_QA,"For x ∈ [2, 5]:
|x - 2| = x - 2 (since x ≥ 2).
|x - 5| = -(x - 5) = 5 - x (since x ≤ 5).
So, f(x) = (x - 2) + (5 - x) + |x - a| = 3 + |x - a|.
Let f_min be the minimum value of f(x) on [2,5] and f_max be the maximum value.
f_min = 3 + min(x ∈ [2,5]) |x-a|. Let m(a) = min(x ∈ [2,5]) |x-a|.
f_max = 3 + max(x ∈ [2,5]) |x-a|. Let M(a) = max(x ∈ [2,5]) |x-a|.
Given f_min + f_max = 7.5.
So, (3 + m(a)) + (3 + M(a)) = 7.5.
6 + m(a) + M(a) = 7.5.
m(a) + M(a) = 1.5.
Case 1: a ∈ [2,5].
In this case, m(a) = 0 (achieved when x=a).
M(a) = max(|2-a|, |5-a|). Since a ∈ [2,5], |2-a| = a-2 and |5-a| = 5-a.
So, M(a) = max(a-2, 5-a).
The equation becomes 0 + max(a-2, 5-a) = 1.5.
If a-2 = 1.5, then a = 3.5. This is in [2,5]. For a=3.5, 5-a = 5-3.5 = 1.5. So max(3.5-2, 5-3.5) = max(1.5, 1.5) = 1.5. This is a valid solution. So a=3.5.
Case 2: a < 2.
On [2,5], x-a is always positive. So |x-a| = x-a.
m(a) = |2-a| = 2-a (function x-a is increasing, min at x=2).
M(a) = |5-a| = 5-a (max at x=5).
The equation becomes (2-a) + (5-a) = 1.5.
7 - 2a = 1.5 => 2a = 5.5 => a = 2.75. This contradicts the condition a < 2. So no solution here.
Case 3: a > 5.
On [2,5], x-a is always negative. So |x-a| = -(x-a) = a-x.
m(a) = |5-a| = a-5 (function a-x is decreasing, min at x=5).
M(a) = |2-a| = a-2 (max at x=2).
The equation becomes (a-5) + (a-2) = 1.5.
2a - 7 = 1.5 => 2a = 8.5 => a = 4.25. This contradicts the condition a > 5. So no solution here.
The only value for 'a' is 3.5.
The correct option is (B).","Functions (Domain, Range, Types, Graphs, Inverse)",Algebra
,Time & Work,18,"Efficiency, Work sharing, Multiple workers",Easy,True,,,,,,,,,,,4,"A and B together can complete a task in 24 days. B and C together can complete the same task in 30 days. A and C together can complete it in 40 days. If A, B, and C work together, but C leaves after 5 days, in how many more days will A and B complete the remaining task? (TITA)",TITA,183675920,Quantitative Ability,,MockSet1_QA,"Let A, B, C be the rates of work (units/day). Let total work be LCM(24,30,40) = 120 units.
Rate(A+B) = 120/24 = 5 units/day.
Rate(B+C) = 120/30 = 4 units/day.
Rate(A+C) = 120/40 = 3 units/day.
Adding these: 2(A+B+C) = 5+4+3 = 12. So, Rate(A+B+C) = 6 units/day.
Individual rates:
A = Rate(A+B+C) - Rate(B+C) = 6 - 4 = 2 units/day.
B = Rate(A+B+C) - Rate(A+C) = 6 - 3 = 3 units/day.
C = Rate(A+B+C) - Rate(A+B) = 6 - 5 = 1 unit/day.
A, B, C work together for 5 days.
Work done in 5 days = 5 × Rate(A+B+C) = 5 × 6 = 30 units.
Remaining work = Total Work - Work Done = 120 - 30 = 90 units.
C leaves. A and B complete the remaining task. Their combined rate is Rate(A+B) = 5 units/day.
Time taken by A and B to complete remaining work = Remaining Work / Rate(A+B) = 90 / 5 = 18 days.
The number of more days is 18.",Time & Work,Arithmetic
,"Circles (Properties, Chords, Tangents, Secants)",1,"Common tangents, Area of trapezium",Hard,False,78 sq. cm,1,156 sq. cm,2,160 sq. cm,3,169 sq. cm,4,,,5,"Two circles with centres O₁ and O₂ touch each other externally at point P. A common tangent to both circles touches them at points A and B respectively. If the radius of the circle with centre O₁ is 9 cm and the radius of the circle with centre O₂ is 4 cm, what is the area of the quadrilateral ABO₂O₁?",MCQ,374019283,Quantitative Ability,,MockSet1_QA,"Let r₁ and r₂ be the radii: r₁ = 9 cm, r₂ = 4 cm.
The distance between the centers O₁O₂ = r₁ + r₂ = 9 + 4 = 13 cm (since they touch externally).
The common tangent AB is a direct common tangent. Its length is given by the formula:
AB = √((O₁O₂)² - (r₁ - r₂)²)
AB = √(13² - (9 - 4)²) = √(13² - 5²) = √(169 - 25) = √144 = 12 cm.
The quadrilateral ABO₂O₁ has O₁A ⊥ AB and O₂B ⊥ AB (radius to tangent is perpendicular).
So, O₁A and O₂B are parallel. Thus, ABO₂O₁ is a trapezium with parallel sides O₁A = r₁ = 9 cm and O₂B = r₂ = 4 cm. The height of this trapezium is AB = 12 cm.
Area of trapezium ABO₂O₁ = (1/2) × (Sum of parallel sides) × Height
Area = (1/2) × (r₁ + r₂) × AB = (1/2) × (9 + 4) × 12 = (1/2) × 13 × 12 = 13 × 6 = 78 sq. cm.
The correct option is (A).","Circles (Properties, Chords, Tangents, Secants)",Geometry
,Compound Interest,3,"Simple Interest, Compound Interest, Mixed Investment",Hard,False,Rs. 12000,1,Rs. 15000,2,Rs. 16000,3,Rs. 18000,4,,,6,"A sum of money is invested in two schemes, A and B. Scheme A offers simple interest at R% per annum and Scheme B offers compound interest at 10% per annum, compounded annually. An amount of Rs. X is invested in Scheme A for 3 years and Rs. (X+4000) is invested in Scheme B for 2 years. The total interest earned from both schemes is Rs. 9960. If R is 12%, find the value of X.",MCQ,650928374,Quantitative Ability,,MockSet1_QA,"Interest from Scheme A (Simple Interest): I_A = P_A × (Rate_A/100) × Time_A.
P_A = X, Rate_A = R = 12%, Time_A = 3 years.
I_A = X × (12/100) × 3 = 0.36X.
Interest from Scheme B (Compound Interest): P_B = X + 4000, Rate_B = 10%, Time_B = 2 years.
Amount_B = P_B × (1 + Rate_B/100)^Time_B = (X+4000) × (1 + 10/100)² = (X+4000) × (1.1)².
Amount_B = (X+4000) × 1.21.
I_B = Amount_B - P_B = (X+4000) × 1.21 - (X+4000) = (X+4000) × (1.21 - 1) = (X+4000) × 0.21.
I_B = 0.21X + 4000 × 0.21 = 0.21X + 840.
Total interest = I_A + I_B = 0.36X + 0.21X + 840 = 0.57X + 840.
Given total interest = Rs. 9960.
0.57X + 840 = 9960.
0.57X = 9960 - 840 = 9120.
X = 9120 / 0.57 = 912000 / 57.
Dividing 912 by 57: 57 × 1 = 57, 91-57 = 34. Bring down 2, making 342. 57 × 6 = 342.
So, 912 / 57 = 16.
X = 16000.
The value of X is Rs. 16000.
The correct option is (C).",Compound Interest,Arithmetic
,"Mensuration - 2D (Area & Perimeter: Triangles, Quadrilaterals, Polygons, Circles)",3,"Area of rectangle, Area of crossroads",Easy,False,"Rs. 120,750",1,"Rs. 125,250",2,"Rs. 129,375",3,"Rs. 131,500",4,,,7,"A rectangular park is 120 m long and 80 m wide. It has two concrete crossroads running in the middle of the park, one parallel to the length and the other parallel to the width. The width of both crossroads is 5 m. The rest of the park is covered with grass. If the cost of laying grass is Rs. 15 per sq. m, find the total cost of laying grass in the park.",MCQ,940518273,Quantitative Ability,,MockSet1_QA,"Length of the park L = 120 m. Width of the park W = 80 m.
Total area of the park = L × W = 120 × 80 = 9600 sq. m.
Crossroad 1 is parallel to the length: Length₁ = 120 m, Width₁ = 5 m. Area₁ = 120 × 5 = 600 sq. m.
Crossroad 2 is parallel to the width: Length₂ = 80 m, Width₂ = 5 m. Area₂ = 80 × 5 = 400 sq. m.
The two crossroads intersect at the center, creating an overlapping area. This overlap is a square of side 5 m.
Area_overlap = 5 × 5 = 25 sq. m.
Total area of the crossroads = Area₁ + Area₂ - Area_overlap = 600 + 400 - 25 = 1000 - 25 = 975 sq. m.
Area covered by grass = Total area of park - Total area of crossroads
= 9600 - 975 = 8625 sq. m.
Cost of laying grass = Rs. 15 per sq. m.
Total cost of laying grass = 8625 × 15.
8625 × 15 = 8625 × (10 + 5) = 86250 + (86250 / 2) = 86250 + 43125 = 129375.
The total cost is Rs. 129,375.
The correct option is (C).","Mensuration - 2D (Area & Perimeter: Triangles, Quadrilaterals, Polygons, Circles)",Geometry
,"Time, Speed & Distance (General)",342,"Relative speed, Time and distance calculation",Medium,True,,,,,,,,,,,8,"A journey of 900 km was partly covered by train at a speed of 90 km/hr and partly by car at a speed of 60 km/hr. If the train journey was 30 minutes longer than the car journey, find the distance covered by the car (in km). (TITA)",TITA,106473829,Quantitative Ability,,MockSet1_QA,"Let D_t be distance by train and D_c be distance by car. D_t + D_c = 900.
Let T_t be time by train and T_c be time by car.
Speed of train S_t = 90 km/hr. Speed of car S_c = 60 km/hr.
T_t = D_t / 90. T_c = D_c / 60.
Given T_t = T_c + 0.5 hours (since 30 minutes = 0.5 hours).
Substitute expressions for T_t and T_c: D_t / 90 = D_c / 60 + 0.5.
Substitute D_t = 900 - D_c:
(900 - D_c) / 90 = D_c / 60 + 0.5.
10 - D_c / 90 = D_c / 60 + 0.5.
9.5 = D_c / 60 + D_c / 90.
To sum the fractions: common denominator for 60 and 90 is 180.
9.5 = (3D_c / 180) + (2D_c / 180) = (3D_c + 2D_c) / 180 = 5D_c / 180.
9.5 = D_c / 36.
D_c = 9.5 × 36.
D_c = (19/2) × 36 = 19 × 18 = 342 km.
The distance covered by the car is 342 km.","Time, Speed & Distance (General)",Arithmetic
,Inequalities (Linear & Quadratic),3,"Modulus, Rational inequality, Sign analysis",Hard,False,"x ∈ (-∞, -2) ∪ (2, 3) ∪ (4, ∞)",1,"x ∈ (-2, 1) ∪ (2, 3)",2,"x ∈ (-2, 2) ∪ (3, 4)",3,"x ∈ (-∞, -2) ∪ (3, 4)",4,,,9,The value of x for which the inequality (x² - 5x + 6) / (|x - 1| - 3) < 0 holds true is:,MCQ,384582019,Quantitative Ability,,MockSet1_QA,"Let f(x) = (x² - 5x + 6) / (|x - 1| - 3). We need f(x) < 0.
Numerator N(x) = x² - 5x + 6 = (x-2)(x-3). Roots at x=2, x=3.
Denominator D(x) = |x - 1| - 3. D(x)=0 when |x-1|=3, so x-1=3 or x-1=-3. Thus x=4 or x=-2.
Critical points for sign analysis: -2, 1 (where |x-1| definition changes), 2, 3, 4.
We need N(x) and D(x) to have opposite signs.
1.	x < -2: N(x) = (-)(-) = Positive. D(x) = (1-x)-3 = -x-2. If x < -2, then -x > 2, so -x-2 > 0. Positive. f(x) = Pos/Pos = Positive.
2.	-2 < x < 1: N(x) = Positive. D(x) = (1-x)-3 = -x-2. If -2 < x < 1, then -1 < -x < 2, so -3 < -x-2 < 0. Negative. f(x) = Pos/Neg = Negative. Solution: (-2, 1).
3.	1 ≤ x < 2: N(x) = Positive. D(x) = (x-1)-3 = x-4. If 1 ≤ x < 2, then -3 ≤ x-4 < -2. Negative. f(x) = Pos/Neg = Negative. Solution: [1, 2).
(At x=1, N(1)=2 > 0, D(1)=|1-1|-3 = -3 < 0. f(1) = -2/3 < 0. So x=1 is included).
4.	x = 2: N(2)=0. f(2)=0. Not < 0.
5.	2 < x < 3: N(x) = (+)(-) = Negative. D(x) = (x-1)-3 = x-4. If 2 < x < 3, then -2 < x-4 < -1. Negative. f(x) = Neg/Neg = Positive.
6.	x = 3: N(3)=0. f(3)=0. Not < 0.
7.	3 < x < 4: N(x) = (+)(+) = Positive. D(x) = (x-1)-3 = x-4. If 3 < x < 4, then -1 < x-4 < 0. Negative. f(x) = Pos/Neg = Negative. Solution: (3, 4).
8.	x = 4: D(4)=0. Undefined.
9.	x > 4: N(x) = Positive. D(x) = (x-1)-3 = x-4. Positive. f(x) = Pos/Pos = Positive.
Combining solution intervals: (-2, 1) ∪ [1, 2) ∪ (3, 4).
This simplifies to (-2, 2) ∪ (3, 4).
The correct option is (C).",Inequalities (Linear & Quadratic),Algebra
,Probability,1,"Combinatorial probability, Drawing balls",Medium,False,2/11,1,3/11,2,4/11,3,5/22,4,,,10,"A bag contains 5 red balls, 4 blue balls, and 3 green balls. Three balls are drawn at random without replacement. What is the probability that exactly two of the drawn balls are red and one is blue?",MCQ,817560392,Quantitative Ability,,MockSet1_QA,"Total balls = 5 Red + 4 Blue + 3 Green = 12.
Number of ways to draw 3 balls from 12 is C(12,3) = (12×11×10)/(3×2×1) = 2×11×10 = 220.
We want exactly two red balls and one blue ball.
Number of ways to choose 2 red balls from 5 is C(5,2) = (5×4)/2 = 10.
Number of ways to choose 1 blue ball from 4 is C(4,1) = 4.
Number of ways to choose 2 red and 1 blue = C(5,2) × C(4,1) = 10 × 4 = 40.
Probability = (Favorable Outcomes) / (Total Outcomes) = 40 / 220 = 4/22 = 2/11.
The correct option is (A).",Probability,Modern Maths
