CognitiveSkillLevel,ConceptTested,CorrectAnswerValue,DetailedTags,DifficultyLevelPredicted,IsTITA,OptionAText,OptionAValue,OptionBText,OptionBValue,OptionCText,OptionCValue,OptionDText,OptionDValue,PassageOrSetContent,PassageOrSetID,QuestionNumberInSection,QuestionPrompt,QuestionType,QuestionUniqueID,SectionName,SectionTimeLimitMinutes,SetID,SolutionExplanation,SubTopic,Topic
Analysis,Ratio of speeds and time after meeting point formula.,45,"Relative Speed, Meeting Point, Ratio of Speeds and Times",Hard,FALSE,40,40,45,45,50,50,30,30,,,1,"Two trains, Train P and Train Q, start simultaneously from stations S1 and S2 respectively, towards each other. They meet at a point M. After meeting, Train P takes 81 minutes to reach station S2, and Train Q takes 144 minutes to reach station S1. If the speed of Train P is 60 km/hr, what is the speed of Train Q in km/hr?",MCQ,Q89,QA,40,MockSet1_QA,"Let the speeds of Train P and Train Q be S_P and S_Q respectively. Let t_P and t_Q be the times taken by them to reach their destinations after meeting.
The formula relating speeds and time is (S_P / S_Q) = √(t_Q / t_P).
Given S_P = 60 km/hr, t_P = 81 minutes, t_Q = 144 minutes.
60 / S_Q = √(144 / 81)
60 / S_Q = 12 / 9 = 4 / 3
S_Q = (60 * 3) / 4 = 15 * 3 = 45 km/hr.
The correct option is (b).","Time, Speed & Distance (Problems on Trains)",Arithmetic
Application,Definition of logarithm and sum of roots of a quadratic equation.,7,"Definition of Logarithm, Quadratic Equation",Easy,FALSE,5,5,6,6,7,7,8,8,,,2,"If log₃(x² – 7x + 15) = 2, find the sum of the possible values of x.",MCQ,Q90,QA,40,MockSet1_QA,"Given log₃(x² – 7x + 15) = 2.
From the definition of logarithm, x² – 7x + 15 = 3².
x² – 7x + 15 = 9.
x² – 7x + 6 = 0.
This is a quadratic equation. The sum of roots is -b/a = -(-7)/1 = 7.
The correct option is (c).",Logarithms,Algebra
Application,Power of a point theorem (Secant-Secant property).,11,"Secant Property, External Point",Easy,FALSE,10,10,11,11,12,12,13,13,,,3,"From an external point P, two secants PAB and PCD are drawn to a circle, where A, B, C, D are points on the circle such that A is between P and B, and C is between P and D. If PA = 5 cm, AB = 7 cm, and PC = 4 cm, find the length of CD in cm.",MCQ,Q91,QA,40,MockSet1_QA,"By the secant property for a circle, PA * PB = PC * PD.
Given: PA = 5 cm, AB = 7 cm. So, PB = PA + AB = 5 + 7 = 12 cm.
Given: PC = 4 cm. Let CD = x cm. So, PD = PC + CD = (4 + x) cm.
5 * 12 = 4 * (4 + x)
60 = 16 + 4x
4x = 60 – 16
4x = 44
x = 11 cm.
The length of CD is 11 cm.
The correct option is (b).","Circles (Properties, Chords, Tangents, Secants)",Geometry
Analysis,Permutations with repetitions and non-adjacent items (complementary counting).,2520,"Arrangements, Repeated Letters, Adjacent Restriction",Hard,FALSE,1080,1080,2520,2520,1800,1800,3000,3000,,,4,How many distinct arrangements of the letters in the word 'PARALLEL' are there such that the two A's are not adjacent?,MCQ,Q92,QA,40,MockSet1_QA,"The word is 'PARALLEL'. Total letters = 8.
Letters are: P(1), A(2), R(1), L(3), E(1).
Total arrangements without restrictions = 8! / (2! * 3!) = 40320 / (2 * 6) = 3360.
To find arrangements with A's together, consider (AA) as a single block. The units to arrange are (AA), P, R, L, L, L, E. This is 7 units.
The letters are (AA)(1), P(1), R(1), L(3), E(1).
Number of arrangements with A's together = 7! / 3! = 5040 / 6 = 840.
Arrangements where A's are not adjacent = Total arrangements - Arrangements with A's together
= 3360 - 840 = 2520.
The correct option is (b).",Permutations & Combinations,Modern Maths
Application,"Ratio and proportion application to income, expenditure, and savings.",3000,"Income, Expenditure, Savings, Ratio Application",Medium,FALSE,"₹2,500",2500,"₹3,000",3000,"₹3,500",3500,"₹1,250",1250,,,5,"The monthly incomes of Arjun and Brijesh are in the ratio 3:4 and their monthly expenditures are in the ratio 4:5. If Brijesh saves ₹5,000 per month, which constitutes 25% of his income, what are Arjun's monthly savings?",MCQ,Q93,QA,40,MockSet1_QA,"Let Arjun's income be 3I and Brijesh's income be 4I.
Let Arjun's expenditure be 4E and Brijesh's expenditure be 5E.
Brijesh saves ₹5,000, which is 25% of his income.
Brijesh's income = 4I.
0.25 * (4I) = 5000, which means I = 5000.
Brijesh's income = 4 * 5000 = ₹20,000.
Brijesh's expenditure = Income - Savings = 20000 - 5000 = ₹15,000.
Since Brijesh's expenditure is 5E, 5E = 15000, so E = ₹3,000.
Arjun's income = 3I = 3 * 5000 = ₹15,000.
Arjun's expenditure = 4E = 4 * 3000 = ₹12,000.
Arjun's savings = Income - Expenditure = 15000 - 12000 = ₹3,000.
The correct option is (b).","Ratio, Proportion & Variation",Arithmetic
Analysis,Algebraic identities involving symmetric sums (Newton's sums).,73,"Symmetric Sums, Newton's Identities",Hard,TRUE,,,,,,,,,,,6,"Let S1 = x + y + z, S2 = xy + yz + zx, and S3 = xyz. If x, y, z are real numbers such that S1 = 7, S2 = 14, and S3 = 8, find the value of x³ + y³ + z³. (Enter your answer as an integer)",TITA,Q94,QA,40,MockSet1_QA,"Given:
S1 = x + y + z = 7
S2 = xy + yz + zx = 14
S3 = xyz = 8
We use the identity x² + y² + z² = (x + y + z)² - 2(xy + yz + zx).
x² + y² + z² = (S1)² - 2(S2) = 7² - 2(14) = 49 - 28 = 21.
Using the identity x³ + y³ + z³ - 3xyz = (x + y + z)(x² + y² + z² - (xy + yz + zx)):
x³ + y³ + z³ - 3(S3) = (S1)( (x² + y² + z²) - S2 )
x³ + y³ + z³ - 3(8) = (7)(21 - 14)
x³ + y³ + z³ - 24 = (7)(7)
x³ + y³ + z³ - 24 = 49
x³ + y³ + z³ = 49 + 24 = 73.
The answer is 73.",Basics of Algebra & Identities,Algebra
Application,Geometric mean theorem in right-angled triangles.,√117,"Right-angled Triangle, Altitude to Hypotenuse, Similar Triangles Property",Easy,FALSE,√117,√117,√52,√52,√13,√13,√65,√65,,,7,"In a right-angled triangle ABC, right-angled at C, CD is the altitude to the hypotenuse AB. If AD = 9 cm and BD = 4 cm, find the length of AC in cm.",MCQ,Q95,QA,40,MockSet1_QA,"In a right-angled triangle ABC, with altitude CD to the hypotenuse AB, triangles ADC and CDB are similar.
For a right-angled triangle with an altitude to the hypotenuse, AC² = AD * AB.
Given AD = 9 cm and BD = 4 cm.
The length of the hypotenuse AB = AD + BD = 9 + 4 = 13 cm.
AC² = AD * AB = 9 * 13 = 117.
AC = √117 cm.
The correct option is (a).","Triangles (Special: Equilateral, Isosceles, Right-angled)",Geometry
Analysis,Multi-stage profit calculation involving mixtures.,69,"Mixtures & Alligations, Multi-stage Sale, Overall Profit Calculation",Hard,TRUE,,,,,,,,,,,8,"A trader buys two varieties of rice, A and B. He buys 80 kg of rice A at ₹45/kg and 120 kg of rice B at ₹60/kg. He sells 20 kg of rice A at 10% profit and 30 kg of rice B at 20% profit. He then mixes the remaining quantities of rice A and rice B and sells the mixture at ₹X per kg to make an overall profit of 25%. Find the value of X. (Enter your answer as an integer)",TITA,Q96,QA,40,MockSet1_QA,"Cost of 80 kg of rice A = 80 * 45 = ₹3600.
Cost of 120 kg of rice B = 120 * 60 = ₹7200.
Total cost = 3600 + 7200 = ₹10800.
Overall profit required = 25%.
Total Selling Price (SP) required = 10800 * 1.25 = ₹13500.
SP from 20 kg of rice A at 10% profit: CP = 20 * 45 = ₹900. SP1 = 900 * 1.10 = ₹990.
SP from 30 kg of rice B at 20% profit: CP = 30 * 60 = ₹1800. SP2 = 1800 * 1.20 = ₹2160.
Remaining rice A = 80 - 20 = 60 kg. Remaining rice B = 120 - 30 = 90 kg.
Total quantity of mixture = 60 + 90 = 150 kg.
This mixture is sold at ₹X per kg. SP from mixture = 150 * X.
Total SP = SP1 + SP2 + SP (mixture) = 990 + 2160 + 150X = 3150 + 150X.
3150 + 150X = 13500.
150X = 13500 - 3150 = 10350.
X = 10350 / 150 = 1035 / 15 = 69.
X = ₹69.
The answer is 69.","Profit, Loss & Discount",Arithmetic
Analysis,Solving system of linear congruences (Chinese Remainder Theorem).,157,"Chinese Remainder Theorem, System of Congruences",Hard,TRUE,,,,,,,,,,,9,"Find the smallest positive integer N which leaves a remainder of 2 when divided by 5, a remainder of 3 when divided by 7, and a remainder of 4 when divided by 9. (Enter your answer as an integer)",TITA,Q97,QA,40,MockSet1_QA,"The conditions are: N ≡ 2 (mod 5), N ≡ 3 (mod 7), N ≡ 4 (mod 9).
From the first congruence, N = 5a + 2 for some integer a ≥ 0.
Substitute into the second: 5a + 2 ≡ 3 (mod 7) → 5a ≡ 1 (mod 7). Multiplying by 3 (inverse of 5 mod 7), a ≡ 3 (mod 7).
So a = 7b + 3 for integer b ≥ 0.
Substitute back: N = 5(7b + 3) + 2 = 35b + 17.
Substitute into the third: 35b + 17 ≡ 4 (mod 9).
(36-1)b + (18-1) ≡ 4 (mod 9) → -b - 1 ≡ 4 (mod 9) → -b ≡ 5 (mod 9) → b ≡ -5 ≡ 4 (mod 9).
So b = 9c + 4 for integer c ≥ 0.
Substitute back: N = 35(9c + 4) + 17 = 315c + 140 + 17 = 315c + 157.
For the smallest positive N, set c = 0.
N = 157.
The answer is 157.",Remainders (incl. Remainder Theorem),Number System
Analysis,Volume of a cone (with extraneous information).,301.71,"Sphere inscribed in Cone, Volume of Cone",Hard,FALSE,301.71,301.71,396,396,495,495,594,594,,,10,A sphere of radius 3 cm is inscribed in a right circular cone of height 8 cm and base radius 6 cm. What is the volume of the cone in cm³? (Use π = 22/7),MCQ,Q98,QA,40,MockSet1_QA,"The volume of a cone is given by V = (1/3)πR²H.
The information about the inscribed sphere is not needed to calculate the cone's volume.
Given H = 8 cm and R = 6 cm.
V = (1/3) * (22/7) * (6²) * 8
V = (1/3) * (22/7) * 36 * 8
V = (22/7) * 12 * 8
V = (22/7) * 96 = 2112 / 7 ≈ 301.714 cm³.
The correct option is (a).","Mensuration - 3D (Volume & Surface Area: Cones, Spheres)",Geometry
