CognitiveSkillLevel,ConceptTested,CorrectAnswerValue,DetailedTags,DifficultyLevelPredicted,IsTITA,OptionAText,OptionAValue,OptionBText,OptionBValue,OptionCText,OptionCValue,OptionDText,OptionDValue,PassageOrSetContent,PassageOrSetID,QuestionNumberInSection,QuestionPrompt,QuestionType,QuestionUniqueID,SectionName,SectionTimeLimitMinutes,SetID,SolutionExplanation,SubTopic,Topic
Evaluating,"Percentages, Multi-stage transactions",D,"Percentages, Multi-stage transactions",Hard,False,Rs. 120,A,Rs. 125,B,Rs. 150,C,Rs. 100,D,,,1,"A shopkeeper bought a certain number of articles. He sold 40% of them at a 50% profit, 25% of the remaining at a 20% loss, and 60% of the new remainder at a 25% profit. The rest of the articles, 36 in number, he sold at a 10% loss. If his overall profit was Rs. 4390, what was the cost price of each article?",MCQ,836209173,QA,40,MockSet1_QA,"Let the total number of articles be N and the cost price of each article be C.
Number of articles in the first batch = 0.4N. Profit on these = 0.4N × C × 0.50 = 0.2NC.
Remaining articles = N - 0.4N = 0.6N.
Number of articles in the second batch = 0.25 × 0.6N = 0.15N. Loss on these = 0.15N × C × 0.20 = 0.03NC.
Remaining articles = 0.6N - 0.15N = 0.45N.
Number of articles in the third batch = 0.60 × 0.45N = 0.27N. Profit on these = 0.27N × C × 0.25 = 0.0675NC.
Number of articles in the fourth batch (rest) = N - (0.4N + 0.15N + 0.27N) = N - 0.82N = 0.18N.
Given that the rest of the articles are 36 in number, so 0.18N = 36.
This means N = 36 / 0.18 = 200 articles.
Loss on the fourth batch = (0.18N) × C × 0.10 = 0.018NC.
Overall profit = 0.2NC - 0.03NC + 0.0675NC - 0.018NC = NC × (0.20 - 0.03 + 0.0675 - 0.018) = 0.2195NC.
Given overall profit = Rs. 4390.
200 × C × 0.2195 = 4390.
43.9C = 4390.
C = 4390 / 43.9 = 100.
The cost price of each article is Rs. 100.
The correct option is (D).","Profit, Loss & Discount",Arithmetic
Evaluating,"Arithmetic Progression, Sum of terms properties",-105,"Arithmetic Progression, Sum of terms properties",Hard,True,,,,,,,,,,,2,"The sum of the 3rd and 15th elements of an arithmetic progression is equal to the sum of the 6th, 10th, and 12th elements of the same progression. If the 8th element is 21, what is the sum of the first 20 elements of this AP? (TITA)",TITA,862830954,QA,40,MockSet1_QA,"Let the arithmetic progression have first term 'a' and common difference 'd'. The n-th term is Tₙ = a + (n-1)d.
Given: T₃ + T₁₅ = T₆ + T₁₀ + T₁₂.
(a + 2d) + (a + 14d) = (a + 5d) + (a + 9d) + (a + 11d).
2a + 16d = 3a + 25d.
a = -9d.
Given: The 8th element T₈ = 21.
T₈ = a + 7d = 21.
Substitute a = -9d: -9d + 7d = 21 => -2d = 21 => d = -10.5.
Then a = -9 × (-10.5) = 94.5.
The sum of the first 20 elements is S₂₀ = (20/2) × [2a + (20-1)d] = 10 × [2a + 19d].
S₂₀ = 10 × [2(94.5) + 19(-10.5)] = 10 × [189 - 199.5] = 10 × [-10.5] = -105.
The sum of the first 20 elements is -105.","Sequences & Series (AP, GP, HP, Special Series)",Algebra
Evaluating,"Modulus function, Minima-Maxima in interval",B,"Modulus function, Minima-Maxima in interval",Hard,False,1,A,3.5,B,6,C,0,D,,,3,"Let f(x) = |x - 2| + |x - 5| + |x - a|. For what value of 'a' is the sum of the minimum and maximum values of f(x) in the interval [2, 5] equal to 7.5? (The interval [2, 5] includes both 2 and 5).",MCQ,501192837,QA,40,MockSet1_QA,"For x ∈ [2, 5]:
|x - 2| = x - 2.
|x - 5| = -(x - 5) = 5 - x.
So, f(x) = (x - 2) + (5 - x) + |x - a| = 3 + |x - a|.
Let f_min and f_max be the minimum and maximum values of f(x) on [2, 5].
f_min = 3 + min |x-a| for x in [2,5].
f_max = 3 + max |x-a| for x in [2,5].
Given f_min + f_max = 7.5.
(3 + min |x-a|) + (3 + max |x-a|) = 7.5.
min |x-a| + max |x-a| = 1.5.
The function g(x) = |x-a| measures the distance from x to a. The maximum distance from any point in [2,5] to 'a' will be at one of the endpoints, x=2 or x=5. So, max |x-a| = max(|2-a|, |5-a|).
Case 1: a ∈ [2, 5].
The minimum distance is 0 (at x=a). So min |x-a| = 0.
The equation becomes 0 + max(|2-a|, |5-a|) = 1.5. This means max(a-2, 5-a) = 1.5.
If a-2 = 1.5, then a = 3.5. If 5-a = 1.5, then a = 3.5.
The value a = 3.5 is in [2, 5] and satisfies the condition.
Case 2: a < 2.
min |x-a| is at x=2, value is 2-a. max |x-a| is at x=5, value is 5-a.
Equation: (2-a) + (5-a) = 1.5 => 7 - 2a = 1.5 => 2a = 5.5 => a = 2.75. This contradicts a < 2.
Case 3: a > 5.
min |x-a| is at x=5, value is a-5. max |x-a| is at x=2, value is a-2.
Equation: (a-5) + (a-2) = 1.5 => 2a - 7 = 1.5 => 2a = 8.5 => a = 4.25. This contradicts a > 5.
The only valid solution is a = 3.5.
The correct option is (B).","Functions (Domain, Range, Types, Graphs, Inverse)",Algebra
Applying,"Efficiency, Work sharing, Multiple workers",18,"Efficiency, Work sharing, Multiple workers",Easy,True,,,,,,,,,,,4,"A and B together can complete a task in 24 days. B and C together can complete the same task in 30 days. A and C together can complete it in 40 days. If A, B, and C work together, but C leaves after 5 days, in how many more days will A and B complete the remaining task? (TITA)",TITA,183675920,QA,40,MockSet1_QA,"Let total work be LCM(24, 30, 40) = 120 units.
Rate(A+B) = 120/24 = 5 units/day.
Rate(B+C) = 120/30 = 4 units/day.
Rate(A+C) = 120/40 = 3 units/day.
Adding these: 2(A+B+C) = 5+4+3 = 12. So, Rate(A+B+C) = 6 units/day.
Work done by A, B, and C in 5 days = 5 × 6 = 30 units.
Remaining work = 120 - 30 = 90 units.
This remaining work is completed by A and B. Their combined rate is 5 units/day.
Time taken by A and B = Remaining Work / Rate(A+B) = 90 / 5 = 18 days.
The number of more days is 18.",Time & Work,Arithmetic
Analyzing,"Common tangents, Area of trapezium",A,"Common tangents, Area of trapezium",Medium,False,78 sq. cm,A,156 sq. cm,B,160 sq. cm,C,169 sq. cm,D,,,5,"Two circles with centres O₁ and O₂ touch each other externally at point P. A common tangent to both circles touches them at points A and B respectively. If the radius of the circle with centre O₁ is 9 cm and the radius of the circle with centre O₂ is 4 cm, what is the area of the quadrilateral ABO₂O₁?",MCQ,374019283,QA,40,MockSet1_QA,"Let r₁ = 9 cm and r₂ = 4 cm.
The distance between centers O₁O₂ = r₁ + r₂ = 9 + 4 = 13 cm.
The length of the direct common tangent AB is √((O₁O₂)² - (r₁ - r₂)²) = √(13² - (9 - 4)²) = √(169 - 25) = √144 = 12 cm.
The quadrilateral ABO₂O₁ is a trapezium with parallel sides O₁A = r₁ and O₂B = r₂, and height AB.
Area = (1/2) × (Sum of parallel sides) × Height
Area = (1/2) × (r₁ + r₂) × AB = (1/2) × (9 + 4) × 12 = (1/2) × 13 × 12 = 78 sq. cm.
The correct option is (A).","Circles (Properties, Chords, Tangents, Secants)",Geometry
Evaluating,"Simple Interest, Compound Interest, Mixed Investment",C,"Simple Interest, Compound Interest, Mixed Investment",Hard,False,Rs. 12000,A,Rs. 15000,B,Rs. 16000,C,Rs. 18000,D,,,6,"A sum of money is invested in two schemes, A and B. Scheme A offers simple interest at R% per annum and Scheme B offers compound interest at 10% per annum, compounded annually. An amount of Rs. X is invested in Scheme A for 3 years and Rs. (X+4000) is invested in Scheme B for 2 years. The total interest earned from both schemes is Rs. 9960. If R is 12%, find the value of X.",MCQ,650928374,QA,40,MockSet1_QA,"Interest from Scheme A (SI): I_A = X × (12/100) × 3 = 0.36X.
Interest from Scheme B (CI): Amount_B = (X+4000) × (1 + 10/100)² = (X+4000) × 1.21.
I_B = Amount_B - P_B = (X+4000) × (1.21 - 1) = 0.21(X+4000) = 0.21X + 840.
Total interest I_A + I_B = 0.36X + 0.21X + 840 = 0.57X + 840.
Given total interest = 9960.
0.57X + 840 = 9960.
0.57X = 9120.
X = 9120 / 0.57 = 912000 / 57 = 16000.
The value of X is Rs. 16000.
The correct option is (C).",Compound Interest,Arithmetic
Applying,"Area of rectangle, Area of crossroads",C,"Area of rectangle, Area of crossroads",Easy,False,"Rs. 120,750",A,"Rs. 125,250",B,"Rs. 129,375",C,"Rs. 131,500",D,,,7,"A rectangular park is 120 m long and 80 m wide. It has two concrete crossroads running in the middle of the park, one parallel to the length and the other parallel to the width. The width of both crossroads is 5 m. The rest of the park is covered with grass. If the cost of laying grass is Rs. 15 per sq. m, find the total cost of laying grass in the park.",MCQ,940518273,QA,40,MockSet1_QA,"Total area of the park = 120 m × 80 m = 9600 sq. m.
Area of crossroad parallel to length = 120 × 5 = 600 sq. m.
Area of crossroad parallel to width = 80 × 5 = 400 sq. m.
Area of the overlapping square at the center = 5 × 5 = 25 sq. m.
Total area of crossroads = 600 + 400 - 25 = 975 sq. m.
Area covered by grass = Total area - Area of crossroads = 9600 - 975 = 8625 sq. m.
Total cost of laying grass = 8625 × 15 = Rs. 129,375.
The correct option is (C).","Mensuration - 2D (Area & Perimeter: Triangles, Quadrilaterals, Polygons, Circles)",Geometry
Analyzing,"Relative speed, Time and distance calculation",342,"Relative speed, Time and distance calculation",Medium,True,,,,,,,,,,,8,"A journey of 900 km was partly covered by train at a speed of 90 km/hr and partly by car at a speed of 60 km/hr. If the train journey was 30 minutes longer than the car journey, find the distance covered by the car (in km). (TITA)",TITA,106473829,QA,40,MockSet1_QA,"Let the time taken for the car journey be T_c hours. Then the time for the train journey T_t = T_c + 0.5 hours.
Distance by car D_c = 60 × T_c.
Distance by train D_t = 90 × T_t = 90 × (T_c + 0.5).
Total distance D_c + D_t = 900.
60 T_c + 90(T_c + 0.5) = 900.
60 T_c + 90 T_c + 45 = 900.
150 T_c = 855.
T_c = 855 / 150 = 5.7 hours.
Distance covered by car D_c = 60 × T_c = 60 × 5.7 = 342 km.
The distance covered by the car is 342 km.","Time, Speed & Distance (General)",Arithmetic
Evaluating,"Modulus, Rational inequality, Sign analysis",C,"Modulus, Rational inequality, Sign analysis",Hard,False,"x ∈ (-∞, -2) ∪ (2, 3) ∪ (4, ∞)",A,"x ∈ (-2, 1) ∪ (2, 3)",B,"x ∈ (-2, 2) ∪ (3, 4)",C,"x ∈ (-∞, -2) ∪ (3, 4)",D,,,9,The value of x for which the inequality (x² - 5x + 6) / (|x - 1| - 3) < 0 holds true is:,MCQ,384582019,QA,40,MockSet1_QA,"Let f(x) = (x² - 5x + 6) / (|x - 1| - 3). We need to find the values of x for which f(x) < 0.
1. Analyze the Numerator (N(x)):
   N(x) = x² - 5x + 6 = (x-2)(x-3).
   The roots of the numerator are x = 2 and x = 3.
2. Analyze the Denominator (D(x)):
   D(x) = |x - 1| - 3.
   The denominator is zero when |x - 1| = 3.
   This gives two possibilities: x - 1 = 3 => x = 4; or x - 1 = -3 => x = -2.
   The function is undefined at x = -2 and x = 4.
3. Identify Critical Points:
   The critical points are -2, 2, 3, 4. These points divide the number line into five intervals.
4. Sign Analysis (Wavy Curve Method):
   We check the sign of f(x) in each interval.
   *   Interval (-∞, -2): Pick x = -3. N(-3) > 0, D(-3) > 0. f(x) is Positive.
   *   Interval (-2, 2): Pick x = 0. N(0) > 0, D(0) < 0. f(x) is **Negative**.
   *   Interval (2, 3): Pick x = 2.5. N(2.5) < 0, D(2.5) < 0. f(x) is Positive.
   *   Interval (3, 4): Pick x = 3.5. N(3.5) > 0, D(3.5) < 0. f(x) is **Negative**.
   *   Interval (4, ∞): Pick x = 5. N(5) > 0, D(5) > 0. f(x) is Positive.
5. Conclusion:
   The inequality f(x) < 0 holds for the intervals where f(x) is negative.
   Combining the solution intervals: (-2, 2) ∪ (3, 4).
The correct option is (C).",Inequalities (Linear & Quadratic),Algebra
Analyzing,"Combinatorial probability, Drawing balls",A,"Combinatorial probability, Drawing balls",Medium,False,2/11,A,3/11,B,4/11,C,5/22,D,,,10,"A bag contains 5 red balls, 4 blue balls, and 3 green balls. Three balls are drawn at random without replacement. What is the probability that exactly two of the drawn balls are red and one is blue?",MCQ,817560392,QA,40,MockSet1_QA,"Total balls = 5R + 4B + 3G = 12.
Total ways to draw 3 balls from 12 = C(12, 3) = (12×11×10)/(3×2×1) = 220.
Favorable ways = (Choose 2 Red from 5) AND (Choose 1 Blue from 4).
Number of favorable ways = C(5, 2) × C(4, 1) = 10 × 4 = 40.
Probability = (Favorable Ways) / (Total Ways) = 40 / 220 = 4/22 = 2/11.
The correct option is (A).",Probability,Modern Maths
