CognitiveSkillLevel,ConceptTested,CorrectAnswerValue,DetailedTags,DifficultyLevelPredicted,IsTITA,OptionAText,OptionAValue,OptionBText,OptionBValue,OptionCText,OptionCValue,OptionDText,OptionDValue,PassageOrSetContent,PassageOrSetID,QuestionNumberInSection,QuestionPrompt,QuestionType,QuestionUniqueID,SectionName,SectionTimeLimitMinutes,SetID,SolutionExplanation,SubTopic,Topic
Applying,"Profit calculation in a multi-stage transaction involving successive percentage changes (profit, markup, discount).",C,"Percentages, Chain Transaction, Cost Price, Selling Price",Medium,False,25%,A,30%,B,35%,C,40%,D,,,1,"A shopkeeper, Rohan, sold an article to Bimal at a profit of 20%. Bimal then marked up the price of the article by 25% over what he paid for it. Bimal finally sold the article to Charan after giving a discount of 10% on the marked-up price. Charan paid ₹2700 for the article. If Rohan had sold the article directly to Charan at the price Charan paid, Rohan's profit percentage would have been k%. What is the value of k?",MCQ,MockSet1_QA_Final_Q1,QA,40,MockSet1_QA_Final,"Let Rohan's Cost Price (CP_R) be C.
Rohan sells to Bimal at a 20% profit. So, Bimal's Cost Price (CP_B) = C * (1 + 20/100) = 1.2C.
Bimal marks up the price by 25%. Marked Price (MP_B) = CP_B * (1 + 25/100) = 1.2C * 1.25 = 1.5C.
Bimal sells to Charan at a 10% discount. Charan's Cost Price (CP_C) = MP_B * (1 - 10/100) = 1.5C * 0.9 = 1.35C.
Given that Charan paid ₹2700, so CP_C = 1.35C = 2700.
This implies C = 2700 / 1.35 = ₹2000. So, Rohan's original cost price was ₹2000.
If Rohan had sold the article directly to Charan at ₹2700, Rohan's profit would be:
Profit = Selling Price to Charan - Rohan's CP_R = ₹2700 - ₹2000 = ₹700.
Rohan's profit percentage k% = (Profit / CP_R) * 100 = (700 / 2000) * 100 = (7/20) * 100 = 35%.
So, k = 35%.","Profit, Loss & Discount",Arithmetic
Applying,"Divisibility rule of 1001 (LCM of 7, 11, 13) for a six-digit number.",5,"Divisibility Rules, LCM, Properties of 1001",Medium,True,,,,,,,,,,,2,"A six-digit number 4X7Y8Z is divisible by 7, 11, and 13. What is the value of X + Y - Z?",TITA,MockSet1_QA_Final_Q2,QA,40,MockSet1_QA_Final,"A number is divisible by 7, 11, and 13 if and only if it is divisible by their LCM.
LCM(7, 11, 13) = 7 * 11 * 13 = 1001.
For a six-digit number of the form ABCDEF to be divisible by 1001, the number formed by the first three digits (ABC) must be equal to the number formed by the last three digits (DEF).
The given number is 4X7Y8Z.
So, 4X7 must be equal to Y8Z.
Comparing digit by digit:
The first digit: 4 = Y.
The second digit: X = 8.
The third digit: 7 = Z.
Thus, X = 8, Y = 4, Z = 7.
We need to find X + Y - Z.
X + Y - Z = 8 + 4 - 7 = 12 - 7 = 5.",Number System,Algebra
Understanding,Calculating the volume of a cone using its curved surface area and diameter.,15400,"Cone, Curved Surface Area, Slant Height, Volume of Cone",Easy,True,,,,,,,,,,,3,The curved surface area of a right circular cone is 4070 cm² and its diameter is 70 cm. What is its volume in cm³? (Use π = 22/7),TITA,MockSet1_QA_Final_Q3,QA,40,MockSet1_QA_Final,"Let r be the radius of the cone and l be its slant height.
Diameter = 70 cm, so radius r = 35 cm.
Curved Surface Area (CSA) = πrl = 4070 cm².
Using π = 22/7:
(22/7) * 35 * l = 4070
22 * 5 * l = 4070
110 * l = 4070
l = 4070 / 110 = 37 cm.
Let h be the height of the cone. We know that l² = r² + h².
h² = 37² - 35² = (37 - 35)(37 + 35) = 2 * 72 = 144.
h = √144 = 12 cm.
Volume of the cone V = (1/3)πr²h.
V = (1/3) * (22/7) * (35)² * 12
V = (1/3) * (22/7) * 35 * 35 * 12
V = (1/3) * 22 * 5 * 35 * 12
V = 22 * 5 * 35 * 4
V = 110 * 140 = 15400 cm³.",Mensuration - 3D,Geometry
Applying,Relationship between speeds and time taken to reach destinations after meeting.,B,"Relative Speed, Meeting Point Problems, Ratio of Speeds",Medium,False,25,A,36,B,40,C,45,D,,,4,"Two persons, Ajay and Vijay, start simultaneously from points P and Q respectively, moving towards each other. They meet at a point R. After meeting, Ajay takes 25 minutes to reach Q and Vijay takes 36 minutes to reach P. If Vijay’s speed is 30 km/hr, what is Ajay’s speed in km/hr?",MCQ,MockSet1_QA_Final_Q4,QA,40,MockSet1_QA_Final,"Let Ajay's speed be S_A and Vijay's speed be S_V.
Let T_A be the time Ajay takes after meeting to reach Q, and T_V be the time Vijay takes after meeting to reach P.
The formula relating their speeds and these times is: S_A / S_V = √(T_V / T_A).
Given: T_A = 25 minutes.
T_V = 36 minutes.
S_V = 30 km/hr.
S_A / S_V = √(36 / 25) = √36 / √25 = 6/5.
So, S_A / 30 = 6/5.
S_A = (6/5) * 30 km/hr = 6 * 6 km/hr = 36 km/hr.","Time, Speed & Distance (General)",Arithmetic
Applying,Sum of an infinite geometric progression by splitting a series into two separate GPs.,B,"Infinite Geometric Progression, Sum of Series",Medium,False,7/8,A,5/8,B,3/4,C,1/2,D,,,5,Find the sum of the infinite series: (1/3) + (2/3²) + (1/3³) + (2/3⁴) + (1/3⁵) + (2/3⁶) + ...,MCQ,MockSet1_QA_Final_Q5,QA,40,MockSet1_QA_Final,"The series is S = (1/3) + (2/3²) + (1/3³) + (2/3⁴) + (1/3⁵) + (2/3⁶) + ...
This can be split into two geometric series:
S1 = (1/3) + (1/3³) + (1/3⁵) + ...
This is a GP with first term a1 = 1/3 and common ratio r1 = (1/3²) = 1/9.
The sum of an infinite GP is a / (1 - r), for |r| < 1.
Sum of S1 = (1/3) / (1 - 1/9) = (1/3) / (8/9) = (1/3) * (9/8) = 3/8.
S2 = (2/3²) + (2/3⁴) + (2/3⁶) + ...
This is a GP with first term a2 = 2/3² = 2/9 and common ratio r2 = (1/3²) = 1/9.
Sum of S2 = (2/9) / (1 - 1/9) = (2/9) / (8/9) = (2/9) * (9/8) = 2/8 = 1/4.
The total sum S = S1 + S2 = 3/8 + 1/4 = 3/8 + 2/8 = 5/8.",Sequences & Series,Algebra
Applying,Solving a system of two linear equations to find fixed and variable costs.,2220,"Linear Equations, Fixed and Variable Charges, Word Problem",Easy,True,,,,,,,,,,,6,"The total monthly electricity bill for a household consists of a fixed charge and a variable charge per unit consumed. In April, the household consumed 200 units and the bill was ₹1500. In May, they consumed 250 units and the bill was ₹1800. In June, they consumed 320 units. What was the bill for June in ₹?",TITA,MockSet1_QA_Final_Q6,QA,40,MockSet1_QA_Final,"Let F be the fixed monthly charge and V be the variable charge per unit.
According to the problem statement:
For April: F + 200V = 1500 (Equation 1)
For May: F + 250V = 1800 (Equation 2)
Subtract Equation 1 from Equation 2:
(F + 250V) - (F + 200V) = 1800 - 1500
50V = 300
V = 300 / 50 = 6.
So, the variable charge is ₹6 per unit.
Substitute V = 6 into Equation 1:
F + 200(6) = 1500
F + 1200 = 1500
F = 1500 - 1200 = 300.
So, the fixed monthly charge is ₹300.
For June, the household consumed 320 units.
The bill for June = F + 320V = 300 + 320(6) = 300 + 1920 = 2220.
The bill for June was ₹2220.",Averages & Weighted Averages,Arithmetic
Applying,Formula for the length of a direct common tangent between two circles.,C,"Direct Common Tangent, Pythagorean Theorem, Properties of Circles",Medium,False,12 cm,A,13 cm,B,15 cm,C,16 cm,D,,,7,Two circles have radii of 14 cm and 6 cm. The distance between their centers is 17 cm. What is the length of the direct common tangent to these two circles?,MCQ,MockSet1_QA_Final_Q7,QA,40,MockSet1_QA_Final,"Let the radii of the two circles be r₁ and r₂, and the distance between their centers be d.
Given: r₁ = 14 cm, r₂ = 6 cm, and d = 17 cm.
The formula for the length (L) of the direct common tangent is:
L = √(d² - (r₁ - r₂)²)
Substitute the given values into the formula:
L = √(17² - (14 - 6)²)
L = √(17² - 8²)
L = √(289 - 64)
L = √(225)
L = 15 cm.
The length of the direct common tangent is 15 cm.",Circles,Geometry
Analyzing,Solving an inequality with absolute values by testing integer values around critical points.,C,"Modulus, Absolute Value Equations, Quadratic Expressions, Integer Solutions",Hard,False,1,A,2,B,3,C,4,D,,,8,How many integer values of x satisfy the inequality |x² - 5x + 3| + |x - 2| ≤ 3?,MCQ,MockSet1_QA_Final_Q8,QA,40,MockSet1_QA_Final,"We need to find integer solutions for |x² - 5x + 3| + |x - 2| ≤ 3.
The critical points are x=2 and the roots of x²-5x+3=0, which are x = (5 ± √13)/2 (approx. 0.7 and 4.3).
We can analyze the inequality in intervals or test integer values around the critical points. Testing integers is often faster.
Test x = 1: |1² - 5(1) + 3| + |1 - 2| = |-1| + |-1| = 1 + 1 = 2. Since 2 ≤ 3, x=1 is a solution.
Test x = 2: |2² - 5(2) + 3| + |2 - 2| = |4 - 10 + 3| + |0| = |-3| + 0 = 3. Since 3 ≤ 3, x=2 is a solution.
Test x = 3: |3² - 5(3) + 3| + |3 - 2| = |9 - 15 + 3| + |1| = |-3| + 1 = 4. Since 4 > 3, x=3 is not a solution.
Test x = 4: |4² - 5(4) + 3| + |4 - 2| = |16 - 20 + 3| + |2| = |-1| + 2 = 3. Since 3 ≤ 3, x=4 is a solution.
Test x = 5: |5² - 5(5) + 3| + |5 - 2| = |25 - 25 + 3| + |3| = 3 + 3 = 6. Since 6 > 3, x=5 is not a solution.
Test x = 0: |0² - 5(0) + 3| + |0 - 2| = |3| + |-2| = 3 + 2 = 5. Since 5 > 3, x=0 is not a solution.
The integer solutions found are 1, 2, and 4. There are 3 integer solutions.",Inequalities,Algebra
Applying,Calculating work done in cycles based on individual efficiencies.,3,"Efficiency, Work Cycle, Rate of Work",Medium,True,,,,,,,,,,,9,"A can do a piece of work in 20 days. B is 25% more efficient than A. C is 20% less efficient than B. They work in a cycle: A works for 2 days, B for 2 days, C for 2 days. How many full cycles are completed before the work is finished?",TITA,MockSet1_QA_Final_Q9,QA,40,MockSet1_QA_Final,"Let A's work per day be W_A. A can do the work in 20 days, so W_A = 1/20 of the job per day.
B is 25% more efficient than A. So, B's work per day W_B = W_A * (1 + 25/100) = (1/20) * 1.25 = (1/20) * (5/4) = 1/16 of the job per day.
C is 20% less efficient than B. So, C's work per day W_C = W_B * (1 - 20/100) = (1/16) * 0.80 = (1/16) * (4/5) = 1/20 of the job per day.
In one cycle (A for 2 days, B for 2 days, C for 2 days):
Work done by A = 2 * (1/20) = 1/10.
Work done by B = 2 * (1/16) = 1/8.
Work done by C = 2 * (1/20) = 1/10.
Total work done in one full cycle (which lasts 2+2+2 = 6 days) = 1/10 + 1/8 + 1/10 = 2/10 + 1/8 = 1/5 + 1/8 = (8+5)/40 = 13/40 of the job.
Let N be the number of full cycles. We need to find the largest N such that N * (work per cycle) ≤ Total Work (which is 1 job).
N * (13/40) ≤ 1 => 13N ≤ 40 => N ≤ 40/13 ≈ 3.07.
The number of full cycles completed is the greatest integer less than or equal to 3.07, which is 3.",Time & Work,Arithmetic
Applying,Solving a system of logarithmic equations using the change of base formula.,A,"Logarithm Properties, System of Logarithmic Equations, Change of Base Formula",Medium,False,8,A,16,B,32,C,4√2,D,,,10,"If log₂(x) + log₄(y) = 4 and log₄(x) + log₂(y) = 5, where x and y are positive real numbers, then the value of √xy is:",MCQ,MockSet1_QA_Final_Q10,QA,40,MockSet1_QA_Final,"Given equations:
1. log₂(x) + log₄(y) = 4
2. log₄(x) + log₂(y) = 5
Convert all logarithms to base 2. Recall that log_b(a) = log_c(a) / log_c(b).
So, log₄(N) = log₂(N) / log₂(4) = log₂(N) / 2.
Equation 1 becomes: log₂(x) + (1/2)log₂(y) = 4.
Let A = log₂(x) and B = log₂(y).
So, A + B/2 = 4 => 2A + B = 8. (Equation 1')
Equation 2 becomes: (1/2)log₂(x) + log₂(y) = 5.
So, A/2 + B = 5 => A + 2B = 10. (Equation 2')
We now have a system of linear equations for A and B:
1') 2A + B = 8
2') A + 2B = 10
Multiply Equation 1' by 2: 4A + 2B = 16.
Subtract Equation 2' from this new equation: (4A + 2B) - (A + 2B) = 16 - 10 => 3A = 6 => A = 2.
Substitute A = 2 into Equation 1': 2(2) + B = 8 => 4 + B = 8 => B = 4.
From A = log₂(x) = 2, we get x = 2² = 4.
From B = log₂(y) = 4, we get y = 2⁴ = 16.
We need to find √xy.
xy = 4 * 16 = 64.
√xy = √64 = 8.",Logarithms,Algebra
