SectionName,SectionTimeLimitMinutes,QuestionUniqueID,QuestionNumberInSection,PassageOrSetID,PassageOrSetContent,QuestionPrompt,OptionAText,OptionBText,OptionCText,OptionDText,OptionAValue,OptionBValue,OptionCValue,OptionDValue,CorrectAnswerValue,QuestionType,Topic,SubTopic,DifficultyLevelPredicted,ConceptTested,DetailedTags,IsTITA,SetID,CognitiveSkillLevel,SolutionExplanation
Quantitative Aptitude,40,102345601,1,,,"The incomes of A and B are in the ratio 3:4 and their expenditures are in the ratio 4:5. A saves 25% of his income. If the total savings of A and B together amount to Rs. 23,250, what is the income of B?","Rs. 32,000","Rs. 40,000","Rs. 48,000","Rs. 56,000",A,B,C,D,C,MCQ,Arithmetic,"Ratio, Proportion & Variation",Hard,"Ratio, Proportion & Variation","Income, Expenditure, Savings, System of Equations, Percentage Application",False,MockSet_CAT_QA_003,,"Let incomes of A and B be 3k and 4k. Let expenditures of A and B be 4m and 5m.
A's savings = 3k - 4m. A saves 25% of his income: 3k - 4m = 0.25 × 3k = (3/4)k.
3k - (3/4)k = 4m => (9/4)k = 4m => 9k = 16m => m = 9k/16.
B's savings = 4k - 5m = 4k - 5(9k/16) = (64k - 45k)/16 = 19k/16.
Total savings = A's savings + B's savings = (3/4)k + 19k/16 = 12k/16 + 19k/16 = 31k/16.
Given total savings = Rs. 23,250.
31k/16 = 23250.
k = (23250 × 16) / 31.
23250 / 31 = 750.
k = 750 × 16 = 12000.
Income of B = 4k = 4 × 12000 = Rs. 48,000.
The correct option is (C)."
Quantitative Aptitude,40,102345602,2,,,"A metallic spherical shell has an external radius of 10 cm and an internal radius of 6 cm. If this shell is melted and recast into a solid right circular cylinder of height 16 cm, what is the radius of the base of this cylinder in cm? (Answer to the nearest integer)",,,,,,,,,8,TITA,Geometry,Mensuration - 3D,Medium,Mensuration - 3D,"Spherical Shell Volume, Cylinder Volume, Recasting Solids",True,MockSet_CAT_QA_003,,"External radius R = 10 cm. Internal radius r = 6 cm. Height of cylinder H_cyl = 16 cm.
Volume of spherical shell V_shell = (4/3)π(R³ - r³) = (4/3)π(10³ - 6³) = (4/3)π(1000 - 216) = (4/3)π(784).
Volume of solid cylinder V_cyl = π(r_cyl)²H_cyl = π(r_cyl)²(16).
V_shell = V_cyl => (4/3)π(784) = π(r_cyl)²(16).
(4/3)(784) = 16(r_cyl)².
(r_cyl)² = (4 × 784) / (3 × 16) = 784 / (3 × 4) = 196/3 ≈ 65.33.
r_cyl = √(196/3) = 14/√3 ≈ 14/1.73205 ≈ 8.0829 cm.
Nearest integer is 8 cm.
The answer is 8."
Quantitative Aptitude,40,102345603,3,,,A clock is set right at 10:00 AM on Monday. The clock loses 15 minutes in every 24 actual hours. What will be the actual time when this clock indicates 3:00 PM on the following Wednesday?,3:45 PM,4:00 PM,4:15 PM,3:33 PM,A,B,C,D,D,MCQ,Arithmetic,Clocks,Medium,Clocks,"Faulty Clock, Time Gain/Loss",False,MockSet_CAT_QA_003,,"Clock loses 15 min in 24 actual hours.
So, 24 actual hours = 23 hours 45 minutes of clock time = 23.75 clock hours.
Ratio: Actual Time / Clock Time = 24 / 23.75 = 24 / (95/4) = 96/95.
Clock indicates time from Monday 10:00 AM to Wednesday 3:00 PM.
Duration = (24 hours for Mon 10AM to Tue 10AM) + (24 hours for Tue 10AM to Wed 10AM) + (5 hours for Wed 10AM to Wed 3PM) = 53 clock hours.
Actual time passed = 53 × (96/95) hours = (53 × 96) / 95 = 5088 / 95 hours.
5088/95 = 53 + 53/95 hours.
53/95 hours = (53/95) × 60 minutes ≈ 0.55789 × 60 minutes ≈ 33.47 minutes.
So, actual time passed = 53 hours and 33.5 minutes (approx).
Actual time = Monday 10:00 AM + 53 hours 33.5 minutes
= Monday 10:00 AM + 2 days (48 hours) + 5 hours 33.5 minutes
= Wednesday 10:00 AM + 5 hours 33.5 minutes = Wednesday 3:33:30 PM.
The correct option is (D)."
Quantitative Aptitude,40,102345604,4,,,"If (x³ + y³ + z³ - 3xyz) / ((x-y)² + (y-z)² + (z-x)²) = 10, and it is known that x+y+z = k, find the value of k.",,,,,,,,,20,TITA,Algebra,Basics of Algebra & Identities,Medium,Basics of Algebra & Identities,"Algebraic Identity (a³+b³+c³-3abc), Factorization",True,MockSet_CAT_QA_003,,"The standard factorization is x³+y³+z³-3xyz = (1/2)(x+y+z)[(x-y)²+(y-z)²+(z-x)²].
The given expression is (x³+y³+z³-3xyz) / ((x-y)²+(y-z)²+(z-x)²) = 10.
Substituting the identity into the expression gives: (1/2)(x+y+z) = 10.
(Assuming (x-y)²+(y-z)²+(z-x)² ≠ 0, i.e., x,y,z are not all equal).
x+y+z = 20.
Given x+y+z = k. Thus, k = 20.
The answer is 20."
Quantitative Aptitude,40,102345605,5,,,A committee of 5 members is to be formed from 6 men and 4 women. What is the probability that the committee contains more men than women?,121/252,131/252,31/42,15/42,A,B,C,D,C,MCQ,Modern Maths,Probability,Medium,Probability,"Combinatorial Probability, Committee Selection, ""More than"" Condition",False,MockSet_CAT_QA_003,,"Total members = 6 men (M) + 4 women (W) = 10. Committee size = 5.
Total ways to form committee = C(10,5) = (10×9×8×7×6)/(5×4×3×2×1) = 252.
Committee contains more men than women. Possible compositions (M, W):
1.	(3M, 2W): C(6,3) × C(4,2) = 20 × 6 = 120.
2.	(4M, 1W): C(6,4) × C(4,1) = C(6,2) × 4 = 15 × 4 = 60.
3.	(5M, 0W): C(6,5) × C(4,0) = C(6,1) × 1 = 6 × 1 = 6.
Total favorable ways = 120 + 60 + 6 = 186.
Probability = 186 / 252.
Dividing by 6: 186/6 = 31; 252/6 = 42. So, Probability = 31/42.
The correct option is (C)."
Quantitative Aptitude,40,102345606,6,,,"A rectangular field is 80 m long and 60 m wide. Three roads, each 5 m wide, are constructed within the field such that two roads are parallel to the breadth and one road is parallel to the length. These roads intersect each other. Find the area of the field covered by the roads in square meters.",,,,,,,,,950,TITA,Geometry,Mensuration - 2D,Medium,Mensuration - 2D,"Area of Roads, Intersecting Paths, Overlapping Area",True,MockSet_CAT_QA_003,,"L=80m, B=60m, w=5m.
Area of one road parallel to length = L × w = 80 × 5 = 400 m².
Area of two roads parallel to breadth = 2 × (B × w) = 2 × (60 × 5) = 600 m².
The single road parallel to length will intersect both roads parallel to breadth.
Number of intersections = 1 × 2 = 2.
Area of each intersection = w × w = 5 × 5 = 25 m².
Total area of intersections = 2 × 25 = 50 m².
Area covered by roads = (Sum of areas of roads) - (Sum of areas of intersections)
= (400 + 600) - 50 = 1000 - 50 = 950 m².
The answer is 950."
Quantitative Aptitude,40,102345607,7,,,"The average age of a group of N students is 18 years. When two new students, aged 24 years and 30 years, join the group, the average age of the group increases by 1 year. What is the value of N?",10,12,14,16,A,B,C,D,D,MCQ,Arithmetic,Averages & Weighted Averages,Easy,Averages & Weighted Averages,"Average Change, Addition/Misread Correction",False,MockSet_CAT_QA_003,,"Let N be the initial number of students. Initial average age = 18. Initial total age = 18N.
Two students aged 24 and 30 join. Sum of their ages = 54.
New number of students = N+2.
New total age = 18N + 54.
New average age = (18N + 54) / (N+2).
This new average is 18+1 = 19.
(18N + 54) / (N+2) = 19.
18N + 54 = 19(N+2) = 19N + 38.
54 - 38 = 19N - 18N => N = 16.
The correct option is (D)."
Quantitative Aptitude,40,102345608,8,,,The sum of the squares of the roots of the quadratic equation x² - (k-2)x + (k-3) = 0 is 21. What is the product of the possible values of k?,-11,-20,-24,-28,A,B,C,D,A,MCQ,Algebra,Quadratic Equations,Medium,Quadratic Equations,"Sum of Squares of Roots, Vieta's Formulas, Product of Parameter Values",False,MockSet_CAT_QA_003,,"x² - (k-2)x + (k-3) = 0. Roots α, β.
α+β = k-2. αβ = k-3.
α² + β² = (α+β)² - 2αβ = (k-2)² - 2(k-3) = k²-4k+4 - 2k+6 = k²-6k+10.
Given α² + β² = 21.
k²-6k+10 = 21 => k²-6k-11 = 0.
If k₁ and k₂ are the roots of this quadratic in k, their product is k₁k₂ = c/a = -11/1 = -11.
The correct option is (A)."
Quantitative Aptitude,40,102345609,9,,,"Three positive integers a, b, and c are in continued proportion. If a, b+2, c are in Arithmetic Progression and a+b+c = 28, find the value of c, given a < c.",,,,,,,,,16,TITA,Algebra,"Sequences & Series (AP, GP, HP, Special Series)",Hard,"Sequences & Series (AP, GP, HP, Special Series)","Continued Proportion (GP), Arithmetic Progression, System of Equations",True,MockSet_CAT_QA_003,,"a, b, c are positive integers. b² = ac (GP).
a, b+2, c are in AP: 2(b+2) = a+c.
a+b+c = 28.
From AP eq: a+c = 2b+4.
Substitute into sum eq: (2b+4)+b = 28 => 3b+4 = 28 => 3b = 24 => b=8.
Then a+c = 2(8)+4 = 20.
And ac = b² = 8² = 64.
We need two numbers whose sum is 20 and product is 64.
t² - 20t + 64 = 0 => (t-4)(t-16) = 0.
So {a,c} = {4, 16}.
Given a < c, so a=4, c=16. (b=8).
All are positive integers.
The value of c is 16.
The answer is 16."
Quantitative Aptitude,40,102345610,10,,,"A milkman mixes two types of milk solutions. Solution A contains 80% milk and Solution B contains 60% milk. He mixes them to create a new solution which he sells at the cost price of pure milk, thereby making a profit of 25% (due to the water content). In what ratio did he mix Solution A and Solution B?","1:0 (Effectively, only Solution A is used)",2:3,3:4,1:1,A,B,C,D,A,MCQ,Arithmetic,Mixtures & Alligation,Hard,Mixtures & Alligation,"Profit Calculation, Cost Price, Alligation Rule, Mixture of Solutions",False,MockSet_CAT_QA_003,,"Let CP of pure milk be Re 1 per litre.
Solution A: 80% milk (effective cost to milkman = Re 0.80/litre).
Solution B: 60% milk (effective cost to milkman = Re 0.60/litre).
He sells the mixture at Re 1 per litre (CP of pure milk). This is the SP.
Profit = 25%. So SP = 1.25 × CP_mixture.
1 = 1.25 × CP_mixture => CP_mixture = 1 / 1.25 = 4/5 = Re 0.80 per litre.
The effective cost of the final mixture to the milkman must be Re 0.80.
Using alligation on the effective costs:
Cost of Sol A (0.80)       Cost of Sol B (0.60)
          \             /
           0.80 (Target effective cost)
          /             \
(0.80 - 0.60) = 0.20   (0.80 - 0.80) = 0
Ratio of (Qty of A) : (Qty of B) = 0.20 : 0.
This means only Solution A should be used. The ratio is effectively A:B = x:0 for any x>0.
The correct option is (A)."
