CognitiveSkillLevel,ConceptTested,CorrectAnswerValue,DetailedTags,DifficultyLevelPredicted,IsTITA,OptionAText,OptionAValue,OptionBText,OptionBValue,OptionCText,OptionCValue,OptionDText,OptionDValue,PassageOrSetContent,PassageOrSetID,QuestionNumberInSection,QuestionPrompt,QuestionType,QuestionUniqueID,SectionName,SectionTimeLimitMinutes,SetID,SolutionExplanation,SubTopic,Topic
,"Ratio, Proportion & Variation",C,"Ratio manipulation, Linear equations, Word problem",Easy,False,64,A,72,B,80,C,88,D,,,1,"The ratio of the number of boys to girls in a school was 7:8. When 10 boys left the school and 10 girls joined the school, the new ratio of boys to girls became 6:9. What was the original number of girls in the school?",MCQ,836201745,Part 1: All Questions,,MockSet1_QA,"Let the original number of boys be 7x and girls be 8x.
According to the condition, (7x-10)/(8x+10) = 6/9 = 2/3.
3(7x-10) = 2(8x+10)
21x - 30 = 16x + 20
5x = 50 ⟹ x = 10.
Original number of girls = 8x = 8 × 10 = 80.
The correct option is (C).","Ratio, Proportion & Variation",Arithmetic
,"Profit, Loss & Discount",1650,"Percentages, Marked price, Multiple discounts, Overall profit, Cost price calculation",Hard,True,,,,,,,,,,,2,"A shopkeeper marked an article 60% above its cost price. He sold two-fifths of the total stock at this marked price. He then sold half of the remaining stock at a 25% discount on the marked price, and the rest of the stock was sold at a 50% discount on the marked price. If his overall profit from the entire stock was Rs. 396, find the cost price of the entire stock in Rs.",TITA,729384016,Part 1: All Questions,,MockSet1_QA,"Let the cost price (CP) of the entire stock be Rs. C.
Marked Price (MP) of the stock = C + 0.60C = 1.6C.
Revenue from (2/5) of stock sold at MP = (2/5) * 1.6C = 0.64C.
Remaining stock = 1 - 2/5 = 3/5 of total stock.
Stock sold at 25% discount on MP = (1/2) * (3/5) = 3/10 of total stock.
Selling price for this part = 1.6C * (1 - 0.25) = 1.6C * 0.75 = 1.2C.
Revenue from this (3/10) stock = (3/10) * 1.2C = 0.36C.
Remaining stock = (3/5) - (3/10) = 3/10 of total stock.
Selling price for this part (50% discount on MP) = 1.6C * (1 - 0.50) = 1.6C * 0.50 = 0.8C.
Revenue from this (3/10) stock = (3/10) * 0.8C = 0.24C.
Total Revenue = 0.64C + 0.36C + 0.24C = 1.24C.
Overall Profit = Total Revenue - CP = 1.24C - C = 0.24C.
Given, overall profit = Rs. 396.
So, 0.24C = 396.
C = 396 / 0.24 = 39600 / 24 = 1650.
The cost price of the entire stock is Rs. 1650.","Profit, Loss & Discount",Arithmetic
,Number Systems,14,"Divisibility rules, Divisibility by 55, Digit properties, Combinatorics with digits, Maximization",Hard,True,,,,,,,,,,,3,"If the 7-digit number 34X7Y6Z is divisible by 55, where X, Y, Z are distinct digits, what is the maximum possible value of X+Y+Z?",TITA,610479283,Part 1: All Questions,,MockSet1_QA,"The number is 34X7Y6Z. For divisibility by 55, it must be divisible by 5 and 11.
Divisibility by 5 implies Z = 0 or Z = 5.
X, Y, Z are distinct digits, also distinct from 3, 4, 7, 6.
Divisibility by 11 implies the alternating sum of digits is a multiple of 11:
(Z + Y + X + 3) - (6 + 7 + 4) is a multiple of 11.
(X+Y+Z+3) - 17 is a multiple of 11.
X+Y+Z-14 = 11k for some integer k.
So X+Y+Z = 14 + 11k.
The maximum sum of three distinct digits is 9+8+7=24.
If k=0, X+Y+Z=14.
If k=1, X+Y+Z=25 (Impossible).
If k=-1, X+Y+Z=3.
The maximum possible sum is therefore 14. This value must be verified against the constraint that X, Y, and Z are distinct digits not already used in {3, 4, 6, 7}.
Case 1: Z = 0.
X+Y+0 = 14 ⟹ X+Y=14.
Digits available for X, Y are from {1, 2, 5, 8, 9}. The pair (9,5) sums to 14. This is a valid set (e.g., X=9, Y=5, Z=0). X+Y+Z = 14.
Case 2: Z = 5.
X+Y+5 = 14 ⟹ X+Y=9.
Digits available for X, Y are from {0, 1, 2, 8, 9}. The pairs (9,0) and (8,1) sum to 9. These are valid sets (e.g., X=9, Y=0, Z=5). X+Y+Z = 14.
Both cases yield a maximum sum of 14.
Thus, the maximum possible value of X+Y+Z is 14.",Number Systems,Algebra
,"Profit, Loss & Discount",C,"Chain transactions, Percentage profit, Mark-up, Discount calculation",Hard,False,Rs. 600,A,Rs. 625,B,Rs. 750,C,Rs. 800,D,,,4,"A manufacturer sells an item to a wholesaler at a 20% profit. The wholesaler sells the same item to a retailer at a 10% profit. The retailer marks the item up by 50% of his cost price but then offers a 20% discount on this marked-up price to a customer. If the customer paid Rs. 1188 for the item, what was the original manufacturing cost of the item?",MCQ,501564872,Part 1: All Questions,,MockSet1_QA,"Let the Manufacturing Cost (MC) be C.
Manufacturer's Selling Price (SP_M) = C × (1+0.20) = 1.2C. This is Wholesaler's Cost Price (CP_W).
Wholesaler's Selling Price (SP_W) = 1.2C × (1+0.10) = 1.2C × 1.1 = 1.32C. This is Retailer's Cost Price (CP_R).
Retailer's Marked Price (MP_R) = 1.32C × (1+0.50) = 1.32C × 1.5 = 1.98C.
Retailer's Selling Price (SP_R) to customer = MP_R × (1-0.20) = 1.98C × 0.8 = 1.584C.
The customer paid Rs. 1188.
So, 1.584C = 1188.
C = 1188 / 1.584 = 1188000 / 1584 = 750.
The manufacturing cost C = Rs. 750.
The correct option is (C).","Profit, Loss & Discount",Arithmetic
,Simple Interest,B,"Simple interest formula, Amount calculation, Effect of rate change",Medium,False,5%,A,6%,B,7.5%,C,8%,D,,,5,"A sum of money amounts to Rs. 9440 in 3 years at a certain rate of simple interest. If the rate of interest were increased by 25%, the same sum would amount to Rs. 9800 in the same 3 years. Find the original rate of interest per annum.",MCQ,492650461,Part 1: All Questions,,MockSet1_QA,"Let P be the principal and R be the original rate of interest per annum. Time T = 3 years.
Amount A = P + (P × R × T)/100.
9440 = P + (P × R × 3)/100 → (1)
If rate increased by 25%, new rate R' = R(1+0.25) = 1.25R.
9800 = P + (P × 1.25R × 3)/100 → (2)
The difference in amounts is due to the increase in interest over 3 years.
Increase in Amount = 9800 - 9440 = Rs. 360.
This increase corresponds to the interest generated by the rate increase (1.25R - R = 0.25R).
Increase in Interest = (P × (0.25R) × 3)/100 = (0.75PR)/100.
So, the interest increase is (0.75PR)/100 = 360.
The original interest for 3 years is SI₁ = (3PR)/100.
Note that (3PR)/100 = 4 × [(0.75PR)/100].
Therefore, SI₁ = 4 × 360 = 1440.
From (1), P = Amount - SI₁ = 9440 - 1440 = 8000.
Now find R using SI₁ = (P × R × T)/100:
1440 = (8000 × R × 3)/100 = 240R.
R = 1440 / 240 = 6.
The original rate of interest is 6%.
The correct option is (B).",Simple Interest,Arithmetic
,"Time, Speed & Distance (Problems on Trains)",36,"Relative speed, Trains crossing in opposite directions, System of linear equations, Unit conversion (m/s to km/hr)",Hard,True,,,,,,,,,,,6,"Two trains of lengths 180 m and 220 m are moving in opposite directions on parallel tracks. Their speeds are S1 m/s and S2 m/s respectively. They cross each other in 10 seconds. If the first train (length 180 m) had doubled its speed, they would have crossed each other in 8 seconds. Find the speed of the first train (S1) in km/hr.",TITA,383746050,Part 1: All Questions,,MockSet1_QA,"Let the lengths of the trains be L1 = 180 m and L2 = 220 m.
Let their speeds be S1 m/s and S2 m/s.
When moving in opposite directions, their relative speed is S1 + S2.
The total distance covered to cross each other is L1 + L2 = 180 + 220 = 400 m.
Time taken = (L1+L2) / (S1+S2).
10 = 400 / (S1+S2) ⟹ S1+S2 = 400/10 = 40 → (1).
If the first train doubles its speed, its new speed is 2S1.
New relative speed = 2S1 + S2.
Time taken = (L1+L2) / (2S1+S2).
8 = 400 / (2S1+S2) ⟹ 2S1+S2 = 400/8 = 50 → (2).
Subtracting equation (1) from equation (2):
(2S1+S2) - (S1+S2) = 50 - 40.
S1 = 10 m/s.
To convert S1 to km/hr: 10 m/s = 10 × (18/5) km/hr = 2 × 18 = 36 km/hr.
The speed of the first train is 36.","Time, Speed & Distance (Problems on Trains)",Arithmetic
,Mensuration - 2D (Area & Perimeter: Quadrilaterals),C,"Rectangle properties, Perimeter formula, Area formula, Algebraic word problem",Easy,False,171,A,180,B,187,C,195,D,,,7,"The perimeter of a rectangle is 56 cm. If its length is 6 cm more than its width, find its area in sq. cm.",MCQ,274831639,Part 1: All Questions,,MockSet1_QA,"Let the width of the rectangle be w cm.
The length l = w+6 cm.
The perimeter is 2(l+w) = 56 cm.
So, l+w = 28.
Substitute l=w+6: (w+6)+w = 28 ⟹ 2w+6=28 ⟹ 2w=22 ⟹ w=11 cm.
The length l = 11+6 = 17 cm.
The area of the rectangle is l × w = 17 × 11 = 187 sq. cm.
The correct option is (C).",Mensuration - 2D (Area & Perimeter: Quadrilaterals),Geometry & Mensuration
,"Geometry (Triangles - Properties, Area Ratios)",90,"Area of triangle, Ratio of bases and areas, Median property (line from vertex to midpoint)",Medium,True,,,,,,,,,,,8,"In a triangle ABC, D is a point on BC such that BD:DC = 2:3. E is the midpoint of AD. If the area of triangle ABE is 18 sq. units, find the area of triangle ABC in sq. units.",TITA,165927228,Part 1: All Questions,,MockSet1_QA,"Let Area(XYZ) denote the area of triangle XYZ.
D is a point on BC such that BD:DC = 2:3.
Since triangles ABD and ADC share the same altitude from vertex A, the ratio of their areas is equal to the ratio of their bases. Thus, Area(ABD) : Area(ADC) = BD:DC = 2:3.
This means Area(ABD) = (BD/BC) * Area(ABC) = (2/(2+3)) * Area(ABC) = (2/5)Area(ABC).
E is the midpoint of AD. In △ABD, BE is a median.
A median divides a triangle into two triangles of equal area, so Area(ABE) = Area(BDE) = (1/2)Area(ABD).
Given Area(ABE) = 18 sq. units.
So, Area(ABD) = 2 * Area(ABE) = 2 * 18 = 36 sq. units.
Using the relation Area(ABD) = (2/5)Area(ABC):
36 = (2/5)Area(ABC).
Area(ABC) = (36 × 5) / 2 = 18 × 5 = 90 sq. units.
The area of triangle ABC is 90.","Geometry (Triangles - Properties, Area Ratios)",Geometry & Mensuration
,"Time, Speed & Distance (General)",B,"Distance-Speed-Time relationship, Forming equations from conditions, Solving system of equations",Medium,False,100 km,A,120 km,B,150 km,C,180 km,D,,,9,"A car travels from P to Q at a constant speed. If its speed were increased by 10 km/hr, it would have taken 1 hour less to cover the distance. If its speed were decreased by 10 km/hr, it would have taken 2 hours more. What is the distance PQ in km?",MCQ,957012817,Part 1: All Questions,,MockSet1_QA,"Let D be the distance, S be the usual speed, and T be the usual time. So D = ST.
If speed is (S+10), time is (T-1). So D = (S+10)(T-1).
ST = (S+10)(T-1) = ST - S + 10T - 10 ⟹ S = 10T - 10 → (1).
If speed is (S-10), time is (T+2). So D = (S-10)(T+2).
ST = (S-10)(T+2) = ST + 2S - 10T - 20 ⟹ 2S = 10T + 20 ⟹ S = 5T + 10 → (2).
Equating (1) and (2):
10T - 10 = 5T + 10.
5T = 20 ⟹ T = 4 hours.
Substitute T=4 into (1): S = 10(4) - 10 = 40 - 10 = 30 km/hr.
Distance D = ST = 30 × 4 = 120 km.
The correct option is (B).","Time, Speed & Distance (General)",Arithmetic
,Pipes & Cisterns,24,"Work rate of pipes, Filling and emptying, Combined work, Variable schedule (pipe closing early)",Hard,True,,,,,,,,,,,10,"Pipe A can fill a tank in 12 hours. Pipe B can fill the same tank in 18 hours. Pipe C can empty the full tank in X hours. All three pipes are opened together. However, Pipe C is closed 3 hours before the tank is completely filled. If the tank gets filled in a total of 9 hours, find the value of X.",TITA,848108406,Part 1: All Questions,,MockSet1_QA,"Let V be the volume of the tank.
Rate of pipe A, r_A = V/12 (filling).
Rate of pipe B, r_B = V/18 (filling).
Rate of pipe C, r_C = V/X (emptying).
The tank is filled in 9 hours. Pipe C works for the first 9-3=6 hours.
Work done in the last 3 hours (Pipes A and B only):
Work_last3 = 3 × (V/12 + V/18) = 3V × (3+2)/36 = 3V × (5/36) = 5V/12.
Work done in the first 6 hours (Pipes A, B, and C):
Work_first6 = 6 × (V/12 + V/18 - V/X) = 6V × ((3+2)/36 - 1/X) = 6V × (5/36 - 1/X) = 5V/6 - 6V/X.
Total work done is V (the full tank):
Work_first6 + Work_last3 = V
(5V/6 - 6V/X) + 5V/12 = V
Divide by V: 5/6 - 6/X + 5/12 = 1
10/12 - 6/X + 5/12 = 1
15/12 - 6/X = 1
5/4 - 1 = 6/X
1/4 = 6/X ⟹ X = 24.
The value of X is 24.",Pipes & Cisterns,Arithmetic
