SectionName,SectionTimeLimitMinutes,QuestionUniqueID,QuestionNumberInSection,PassageOrSetID,PassageOrSetContent,QuestionPrompt,OptionAText,OptionBText,OptionCText,OptionDText,OptionAValue,OptionBValue,OptionCValue,OptionDValue,CorrectAnswerValue,QuestionType,Topic,SubTopic,DifficultyLevelPredicted,ConceptTested,DetailedTags,IsTITA,SetID,CognitiveSkillLevel,SolutionExplanation
QA,,Q45,1,,,"The ratio of the number of boys to girls in a school was 7:8. When 10 boys left the school and 10 girls joined the school, the new ratio of boys to girls became 6:9. What was the original number of girls in the school?",64,72,80,88,A,B,C,D,C,MCQ,Arithmetic,"Ratio, Proportion & Variation",Easy,Solving word problems using ratios and linear equations.,"Ratio manipulation, Linear equations, Word problem",FALSE,MockSet1_QA,Applying,"Let the original number of boys be 7x and the original number of girls be 8x.
After 10 boys left, the number of boys became 7x-10.
After 10 girls joined, the number of girls became 8x+10.
The new ratio of boys to girls is 6:9, which simplifies to 2:3.
So, we have the equation: (7x-10)/(8x+10) = 2/3.
Cross-multiplying gives: 3(7x-10) = 2(8x+10).
21x - 30 = 16x + 20.
21x - 16x = 20 + 30.
5x = 50.
x = 10.
The original number of girls was 8x = 8 * 10 = 80.
The correct option is (C)."
QA,,Q46,2,,,"A merchant buys two articles, A and B. The cost price of article A is 20% more than the cost price of article B. He marks up article A by 25% and article B by 40%. He then sells article A at a 10% discount and article B at a 15% discount. If his total profit from selling both articles is Rs. 255, what is the cost price of article B?",Rs. 500,Rs. 600,Rs. 750,Rs. 800,A,B,C,D,C,MCQ,Arithmetic,"Profit, Loss & Discount",Hard,Multi-step profit and loss calculation involving mark-up and discount.,"Cost price, Marked price, Discount, Profit calculation, Multiple articles, Percentage calculations",FALSE,MockSet1_QA,Analyzing,"Let the cost price (CP) of article B be C_B.
Then the CP of article A is C_A = C_B * (1+0.20) = 1.2 * C_B.
Article A is marked up by 25%: Marked Price of A (MP_A) = 1.2 * C_B * (1+0.25) = 1.2 * C_B * 1.25 = 1.5 * C_B.
Article B is marked up by 40%: Marked Price of B (MP_B) = C_B * (1+0.40) = 1.4 * C_B.
Article A is sold at a 10% discount: Selling Price of A (SP_A) = MP_A * (1-0.10) = 1.5 * C_B * 0.9 = 1.35 * C_B.
Profit from article A = SP_A - C_A = 1.35 * C_B - 1.2 * C_B = 0.15 * C_B.
Article B is sold at a 15% discount: Selling Price of B (SP_B) = MP_B * (1-0.15) = 1.4 * C_B * 0.85 = 1.19 * C_B.
Profit from article B = SP_B - C_B = 1.19 * C_B - C_B = 0.19 * C_B.
The total profit from selling both articles is Rs. 255.
Total Profit = Profit from A + Profit from B.
255 = 0.15 * C_B + 0.19 * C_B.
255 = 0.34 * C_B.
C_B = 255 / 0.34 = 25500 / 34 = 750.
The cost price of article B is Rs. 750.
The correct option is (C)."
QA,,Q47,3,,,"Let N be a positive integer such that N = 2^a * 3^b, where a, b are non-negative integers. If N has 30 factors and 2N has 40 factors, find the number of factors of 6N.",,,,,,,,,44,TITA,Algebra,Number Systems,Medium,Using the formula for the number of factors and solving simultaneous equations.,"Number of factors, Prime factorization, Properties of factors",TRUE,MockSet1_QA,Applying,"Let N = 2^a * 3^b.
The number of factors of N is τ(N) = (a+1)(b+1).
Given τ(N) = 30, so (a+1)(b+1) = 30. (1)
Consider 2N. 2N = 2 * (2^a * 3^b) = 2^(a+1) * 3^b.
The number of factors of 2N is τ(2N) = ((a+1)+1)(b+1) = (a+2)(b+1).
Given τ(2N) = 40, so (a+2)(b+1) = 40. (2)
Divide (2) by (1): (a+2)(b+1) / ((a+1)(b+1)) = 40/30 = 4/3.
(a+2)/(a+1) = 4/3.
3(a+2) = 4(a+1) => 3a+6 = 4a+4 => a = 2.
Substitute a=2 into (1): (2+1)(b+1) = 30 => 3(b+1) = 30 => b+1 = 10 => b = 9.
We need the number of factors of 6N.
6N = (2*3) * N = (2*3) * (2^a * 3^b) = 2^(a+1) * 3^(b+1).
Substitute a=2, b=9: 6N = 2^(2+1) * 3^(9+1) = 2^3 * 3^10.
The number of factors of 6N is τ(6N) = (3+1)(10+1) = 4 * 11 = 44.
The number of factors of 6N is 44."
QA,,Q48,4,,,"A manufacturer sells an item to a wholesaler at a 20% profit. The wholesaler sells the same item to a retailer at a 10% profit. The retailer marks the item up by 50% of his cost price but then offers a 20% discount on this marked-up price to a customer. If the customer paid Rs. 1188 for the item, what was the original manufacturing cost of the item?",Rs. 600,Rs. 625,Rs. 750,Rs. 800,A,B,C,D,C,MCQ,Arithmetic,"Profit, Loss & Discount",Medium,Solving successive percentage change problems in a supply chain.,"Chain transactions, Percentage profit, Mark-up, Discount calculation",FALSE,MockSet1_QA,Applying,"Let the Manufacturing Cost (MC) be C.
Manufacturer's Selling Price (SP_M) = C * (1+0.20) = 1.2*C. This is the Wholesaler's Cost Price (CP_W).
Wholesaler's Selling Price (SP_W) = CP_W * (1+0.10) = 1.2*C * 1.1 = 1.32*C. This is the Retailer's Cost Price (CP_R).
Retailer's Marked Price (MP_R) = CP_R * (1+0.50) = 1.32*C * 1.5 = 1.98*C.
Retailer's Selling Price (SP_R) to customer = MP_R * (1-0.20) = 1.98*C * 0.8 = 1.584*C.
The customer paid Rs. 1188.
So, 1.584*C = 1188.
C = 1188 / 1.584 = 1188000 / 1584 = 750.
The manufacturing cost C = Rs. 750.
The correct option is (C)."
QA,,Q49,5,,,A rectangular box is inscribed in a sphere such that all its vertices lie on the sphere. The square of the length of the main diagonal of the box is given as 625 sq. cm. What is the radius of the sphere in cm?,10,12.5,15,17.5,A,B,C,D,B,MCQ,Geometry & Mensuration,"Mensuration - 3D (Volume & Surface Area: Cuboids, Spheres)",Hard,Understanding the relationship between a sphere's diameter and the diagonal of an inscribed cuboid.,"Rectangular box, Inscribed sphere, Diagonal of cuboid",FALSE,MockSet1_QA,Analyzing,"The main diagonal of a rectangular box inscribed in a sphere is equal to the diameter of the sphere.
Let d_box be the length of the main diagonal of the box.
The problem states that the square of the length of the main diagonal is 625 sq. cm.
So, (d_box)^2 = 625.
d_box = sqrt(625) = 25 cm.
The diameter of the circumscribing sphere, D_sphere = d_box = 25 cm.
The radius of the sphere, R_sphere = D_sphere / 2 = 25 / 2 = 12.5 cm.
The correct option is (B)."
QA,,Q50,6,,,"In a triangle ABC, points D, E, F are on sides BC, CA, AB respectively such that AD, BE, CF are the medians. G is the centroid of the triangle. If the area of triangle GBD is 28 sq. cm, what is the area of triangle AFE in sq. cm?",28,35,42,49,A,B,C,D,C,MCQ,Geometry & Mensuration,"Geometry (Triangles - Properties, Area Ratios)",Hard,"Properties of medians, centroid, and area ratios in triangles, including the midpoint theorem.","Medians, Centroid, Area of triangle properties, Midpoint theorem properties, Ratio of areas",FALSE,MockSet1_QA,Analyzing,"A property of medians and centroid is that the three medians divide the triangle into 6 smaller triangles of equal area. △GBD is one of these 6 triangles.
Therefore, Area(GBD) = (1/6) * Area(ABC).
Given Area(GBD) = 28 sq. cm.
So, (1/6) * Area(ABC) = 28.
Area(ABC) = 28 * 6 = 168 sq. cm.
Points E and F are midpoints of sides CA and AB respectively. △AFE is formed by joining these midpoints.
By the midpoint theorem, the line segment FE is parallel to BC and its length is half the length of BC.
Thus, △AFE is similar to △ABC. The ratio of corresponding sides is AF/AB = AE/AC = FE/BC = 1/2.
The ratio of the areas of two similar triangles is the square of the ratio of their corresponding sides.
Area(AFE) / Area(ABC) = (1/2)^2 = 1/4.
Area(AFE) = (1/4) * Area(ABC) = (1/4) * 168 = 42 sq. cm.
The correct option is (C)."
QA,,Q51,7,,,"A sum of money was lent at simple interest at a certain rate for 2 years. If it had been lent at compound interest (compounded annually) at the same rate, the interest would have been Rs. 120 more. If the sum was lent at compound interest (compounded annually) at a rate 5% higher than the original rate for 2 years, the compound interest earned in this case would have been Rs. 367.50 more than the compound interest earned at the original rate for 2 years. Find the original rate of interest per annum.",10%,12%,15%,20%,A,B,C,D,D,MCQ,Arithmetic,Compound Interest,Hard,"Forming and solving equations based on the difference between SI and CI, and differences between two CIs.","Simple interest vs Compound interest, Difference in CI and SI, Solving for rate, System of equations",FALSE,MockSet1_QA,Analyzing,"Let P be the principal and R be the original rate of interest (as a decimal).
Simple Interest (SI) for 2 years = P*R*2 = 2PR.
Compound Interest (CI) for 2 years is CI_orig = P(1+R)^2 - P = 2PR + PR^2.
The difference CI_orig - SI = (2PR + PR^2) - 2PR = PR^2.
Given PR^2 = 120. (1)
The new rate R_new = R+0.05.
Compound interest at the new rate for 2 years is CI_new = P(1+R_new)^2 - P.
Given CI_new - CI_orig = 367.50.
[P(1+R+0.05)^2 - P] - [P(1+R)^2 - P] = 367.50.
P[(1+R+0.05)^2 - (1+R)^2] = 367.50.
Using a^2-b^2 = (a-b)(a+b): P[ (0.05) * (1+R+0.05 + 1+R) ] = 367.50.
P[ 0.05 * (2R + 2.05) ] = 367.50.
P(0.1R + 0.1025) = 367.50. (2)
From (1), P = 120/R^2. Substitute into (2):
(120/R^2) * (0.1R + 0.1025) = 367.50.
12/R + 12.3/R^2 = 367.50.
Multiply by R^2: 12R + 12.3 = 367.5R^2.
367.5R^2 - 12R - 12.3 = 0.
Testing the options. Let's try R=20% = 0.2.
367.5(0.2)^2 - 12(0.2) - 12.3 = 367.5(0.04) - 2.4 - 12.3 = 14.7 - 2.4 - 12.3 = 0.
The equation is satisfied for R=0.2. So the original rate is 20%.
The correct option is (D)."
QA,,Q52,8,,,"In a triangle ABC, D is a point on BC such that BD:DC = 2:3. E is the midpoint of AD. If the area of triangle ABE is 18 sq. units, find the area of triangle ABC in sq. units.",,,,,,,,,90,TITA,Geometry & Mensuration,"Geometry (Triangles - Properties, Area Ratios)",Medium,Using area ratio properties based on base division and medians in triangles.,"Area of triangle, Ratio of bases and areas, Median property (line from vertex to midpoint)",TRUE,MockSet1_QA,Applying,"D is a point on BC such that BD:DC = 2:3. This means Area(ABD) = (2/5)Area(ABC).
E is the midpoint of AD. In △ABD, BE is a line from vertex B to the midpoint of AD. Thus, BE divides △ABD into two triangles of equal area: Area(ABE) = Area(BDE) = (1/2)Area(ABD).
Given Area(ABE) = 18 sq. units.
So, Area(ABD) = 2 * Area(ABE) = 2 * 18 = 36 sq. units.
Since Area(ABD) = (2/5)Area(ABC):
36 = (2/5)Area(ABC).
Area(ABC) = (36 * 5) / 2 = 18 * 5 = 90 sq. units.
The area of triangle ABC is 90."
QA,,Q53,9,,,"A car travels from P to Q at a constant speed. If its speed were increased by 10 km/hr, it would have taken 1 hour less to cover the distance. If its speed were decreased by 10 km/hr, it would have taken 2 hours more. What is the distance PQ in km?",100 km,120 km,150 km,180 km,A,B,C,D,B,MCQ,Arithmetic,"Time, Speed & Distance (General)",Medium,Solving TSD problems by setting up and solving a system of equations.,"Distance-Speed-Time relationship, Forming equations from conditions, Solving system of equations",FALSE,MockSet1_QA,Applying,"Let D be the distance, S be the usual speed, and T be the usual time. D=ST.
If speed is (S+10), time is (T-1). So D=(S+10)(T-1).
ST = (S+10)(T-1) => ST = ST - S + 10T - 10 => S = 10T - 10. (1)
If speed is (S-10), time is (T+2). So D=(S-10)(T+2).
ST = (S-10)(T+2) => ST = ST + 2S - 10T - 20 => 2S = 10T + 20 => S = 5T + 10. (2)
Equating (1) and (2):
10T - 10 = 5T + 10.
5T = 20 => T = 4 hours.
Substitute T=4 into equation (1): S = 10(4) - 10 = 30 km/hr.
Distance D = ST = 30 * 4 = 120 km.
The correct option is (B)."
QA,,Q54,10,,,"Pipe A can fill a tank in 12 hours. Pipe B can fill the same tank in 18 hours. Pipe C can empty the full tank in X hours. All three pipes are opened together. However, Pipe C is closed 3 hours before the tank is completely filled. If the tank gets filled in a total of 9 hours, find the value of X.",,,,,,,,,24,TITA,Arithmetic,Pipes & Cisterns,Medium,Calculating work done by pipes with varying schedules.,"Work rate of pipes, Filling and emptying, Combined work, Variable schedule (pipe closing early)",TRUE,MockSet1_QA,Applying,"Let the total volume of the tank be LCM(12, 18) = 36 units.
Rate of A = 36/12 = +3 units/hr.
Rate of B = 36/18 = +2 units/hr.
Rate of C = -36/X units/hr.
The tank is filled in 9 hours. Pipe C runs for 9-3=6 hours.
Pipes A and B run for all 9 hours.
Total work done = 1 (or 36 units).
Work done by A in 9 hours = 9 * 3 = 27 units.
Work done by B in 9 hours = 9 * 2 = 18 units.
Work done by C in 6 hours = 6 * (-36/X) = -216/X units.
Total work = 27 + 18 - 216/X = 36.
45 - 216/X = 36.
45 - 36 = 216/X.
9 = 216/X.
X = 216 / 9 = 24.
The value of X is 24."
