CognitiveSkillLevel,ConceptTested,CorrectAnswerValue,DetailedTags,DifficultyLevelPredicted,IsTITA,OptionAText,OptionAValue,OptionBText,OptionBValue,OptionCText,OptionCValue,OptionDText,OptionDValue,PassageOrSetContent,PassageOrSetID,QuestionNumberInSection,QuestionPrompt,QuestionType,QuestionUniqueID,SectionName,SectionTimeLimitMinutes,SetID,SolutionExplanation,SubTopic,Topic
Analysis,"Chain Transaction, Percentage Profit",A,"Chain Transaction, Percentage Profit",Hard,False,20%,A,25%,B,50%,C,44%,D,,,1,"Alisha sold an item to Bhanu at a loss of 20%. Bhanu then marked up the price of the item by 50% of what he paid and sold it to Charan for Rs. 3600. If Alisha had sold the item directly to Charan at the price Charan paid, Alisha's profit percentage would have been K%. What is the value of K?",MCQ,Q45,Quantitative Aptitude,40,MockSet1_QA,"Let Alisha's cost price (CP_A) be C.
Alisha sold to Bhanu at a 20% loss. So, Bhanu's cost price (CP_B) = C * (1 - 0.20) = 0.8C.
Bhanu marked up by 50% of what he paid. Selling price for Bhanu = CP_B * (1 + 0.50) = 0.8C * 1.5 = 1.2C.
This is the price Charan paid. So, Charan's cost price (CP_C) = 1.2C.
We are given CP_C = Rs. 3600.
So, 1.2C = 3600 => C = 3600 / 1.2 = Rs. 3000.
Alisha's cost price (CP_A) = Rs. 3000.
If Alisha had sold the item directly to Charan at Rs. 3600:
Alisha's profit = Selling Price - CP_A = 3600 - 3000 = Rs. 600.
Alisha's profit percentage K = (Profit / CP_A) * 100 = (600 / 3000) * 100 = (1/5) * 100 = 20%.
The correct option is (A).","Profit, Loss & Discount",Arithmetic
Application,"Divisibility by 225, Divisibility by 9, Divisibility by 25",14,"Divisibility by 225, Divisibility by 9, Divisibility by 25",Medium,True,,,,,,,,,,,2,"If the 7-digit number 876p37q is divisible by 225, and p is a non-zero digit, what is the value of p + q? (p and q are single digits)",TITA,Q46,Quantitative Aptitude,40,MockSet1_QA,"The number 876p37q must be divisible by 225.
Prime factorization of 225 is `3^2 × 5^2 = 9 × 25`.
For divisibility by 25, the number formed by the last two digits (7q) must be divisible by 25. The only multiple of 25 starting with 7 is 75. So, q = 5.
The number becomes 876p375.
For divisibility by 9, the sum of its digits must be divisible by 9.
Sum of digits = 8 + 7 + 6 + p + 3 + 7 + 5 = 36 + p.
Since 36 is divisible by 9, for 36 + p to be divisible by 9, p must be divisible by 9.
Given that p is a single digit and p is non-zero, p must be 9.
So, p = 9 and q = 5.
The value of p + q = 9 + 5 = 14.
The final answer is 14.",Divisibility Rules,Number System
Analysis,"Cyclic Trapezium, Similar Triangles, Area Ratio",B,"Cyclic Trapezium, Similar Triangles, Area Ratio",Hard,False,56 cm²,A,78.4 cm²,B,64 cm²,C,80 cm²,D,,,3,"In a cyclic trapezium PQRS with PQ || SR, PQ = 10 cm and RS = 14 cm. The diagonals PR and QS intersect at point O. If the area of triangle POQ is 40 cm², find the area of triangle ROS.",MCQ,Q47,Quantitative Aptitude,40,MockSet1_QA,"In a trapezium PQRS with PQ || SR, the diagonals PR and QS intersect at O.
In △POQ and △ROS:
- ∠POQ = ∠ROS (Vertically opposite angles)
- ∠OPQ = ∠ORS (Alternate interior angles, since PQ || SR)
- ∠OQP = ∠OSR (Alternate interior angles, since PQ || SR)
Therefore, △POQ is similar to △ROS by AAA similarity.
The ratio of the areas of two similar triangles is the square of the ratio of their corresponding sides.
Area(△ROS) / Area(△POQ) = (RS / PQ)²
Given: PQ = 10 cm, RS = 14 cm, Area(△POQ) = 40 cm².
Area(△ROS) / 40 = (14 / 10)² = (7 / 5)² = 49 / 25
Area(△ROS) = 40 × (49 / 25) = (8 × 5 × 49) / (5 × 5) = (8 × 49) / 5 = 392 / 5 = 78.4 cm².
The correct option is (B).",Quadrilaterals & Polygons,Geometry
Analysis,"Late Start, Speed Change, Proportionality",D,"Late Start, Speed Change, Proportionality",Hard,False,180 km,A,200 km,B,240 km,C,300 km,D,,,4,"A train normally travels from station A to station B in a scheduled time at a constant speed. One day, the train starts 30 minutes late. To reach station B on schedule, it increases its speed by 25% over its normal speed for the entire journey. Another day, the train starts on time but after travelling 60 km, it encounters a slowdown and travels at 3/4th of its normal speed for the rest of the journey, arriving 40 minutes late. Find the distance between station A and station B in km.",MCQ,Q48,Quantitative Aptitude,40,MockSet1_QA,"Let D be the distance between station A and B, S be the normal speed, and T be the scheduled time. Thus, D = ST.
Case 1: The train starts 30 minutes (0.5 hours) late. To reach on schedule, it must complete the journey in T - 0.5 hours. The speed is increased by 25%, so new speed S' = S + 0.25S = 1.25S.
D = (1.25S)(T - 0.5).
Since D = ST, we have ST = 1.25S(T - 0.5). Dividing by S (S ≠ 0):
T = 1.25(T - 0.5) => T = 1.25T - 0.625 => 0.25T = 0.625 => T = 2.5 hours.
Case 2: The train travels 60 km at speed S. Time taken = 60/S.
Remaining distance = D - 60. Speed for remaining journey = (3/4)S = 0.75S.
The journey is 40 minutes (2/3 hour) late. The delay occurs only in the second part of the journey.
Actual time for second part - normal time for second part = 2/3 hour.
(D-60)/(0.75S) - (D-60)/S = 2/3.
((D-60)/S) * (1/0.75 - 1) = 2/3 => ((D-60)/S) * (4/3 - 1) = 2/3.
((D-60)/S) * (1/3) = 2/3 => (D-60)/S = 2 => D - 60 = 2S.
We have T = 2.5 and D - 60 = 2S. Also D = ST.
Substitute T=2.5 into D=ST => D = 2.5S, so S = D/2.5 = 0.4D.
Now substitute S into D-60 = 2S:
D - 60 = 2(0.4D) => D - 60 = 0.8D => 0.2D = 60 => D = 300 km.
The correct option is (D).","Time, Speed & Distance (General)",Arithmetic
Analysis,"System of Logarithmic Equations, Change of Base, Properties of Logarithms",512,"System of Logarithmic Equations, Change of Base, Properties of Logarithms",Hard,True,,,,,,,,,,,5,"If x and y are positive real numbers such that `log_8(x) + log_4(y^2) = 5` and `log_8(y) + log_4(x^2) = 7`, find the value of xy.",TITA,Q49,Quantitative Aptitude,40,MockSet1_QA,"The given equations are:
1) `log_8(x) + log_4(y^2) = 5`
2) `log_8(y) + log_4(x^2) = 7`
Convert all terms to base 2 using the property `log_b(a) = log_c(a) / log_c(b)`.
`log_8(x) = log_2(x) / log_2(8) = log_2(x) / 3`
`log_4(y^2) = 2 * log_4(y) = 2 * (log_2(y) / log_2(4)) = 2 * (log_2(y) / 2) = log_2(y)`
Similarly, `log_8(y) = log_2(y) / 3` and `log_4(x^2) = log_2(x)`.
Substitute these into the equations:
1) `(1/3)log_2(x) + log_2(y) = 5`
2) `(1/3)log_2(y) + log_2(x) = 7`
Let `A = log_2(x)` and `B = log_2(y)`. The system becomes:
1) `A/3 + B = 5  => A + 3B = 15`
2) `B/3 + A = 7  => B + 3A = 21`
Add the two new equations:
`(A + 3B) + (3A + B) = 15 + 21`
`4A + 4B = 36`
`A + B = 9`
This means `log_2(x) + log_2(y) = 9`.
Using the property `log(a) + log(b) = log(ab)`:
`log_2(xy) = 9`
By definition of logarithm:
`xy = 2^9 = 512`.
The final answer is 512.",Logarithms,Algebra
Application,"Work Rate, Varying Work Hours, Combined Work",9,"Work Rate, Varying Work Hours, Combined Work",Medium,True,,,,,,,,,,,6,"Ramesh can complete a task in 30 days working 6 hours a day. Suresh can complete the same task in 20 days working 9 hours a day. They decide to work together. Ramesh will work 5 hours a day, and Suresh will work for twice the number of hours Ramesh works per day. However, Ramesh will work for twice the number of days Suresh works. If they complete the task under this new arrangement, for how many days did Suresh work?",TITA,Q50,Quantitative Aptitude,40,MockSet1_QA,"Total hours for Ramesh to complete the task = 30 days × 6 hrs/day = 180 hours.
Ramesh's rate of work = R_R = 1/180 of task per hour.
Total hours for Suresh to complete the task = 20 days × 9 hrs/day = 180 hours.
Suresh's rate of work = R_S = 1/180 of task per hour.
Let Suresh work for D_S days.
Ramesh works for D_R = 2D_S days.
Ramesh works 5 hours/day. Suresh works 2 × 5 = 10 hours/day.
Total work done by Ramesh = D_R × 5 × R_R = (2D_S) × 5 × (1/180) = 10D_S / 180 = D_S / 18.
Total work done by Suresh = D_S × 10 × R_S = D_S × 10 × (1/180) = 10D_S / 180 = D_S / 18.
The sum of work done is 1 (task completed).
D_S/18 + D_S/18 = 1 => 2D_S/18 = 1 => D_S/9 = 1 => D_S = 9.
Suresh worked for 9 days.
The final answer is 9.",Time & Work,Arithmetic
Application,"Roots Properties, Sum of Squares of Roots, Discriminant Condition",B,"Roots Properties, Sum of Squares of Roots, Discriminant Condition",Medium,False,1,A,2,B,8,C,15,D,,,7,"If α and β are the roots of the quadratic equation `x^2 - (k-2)x - (k+5) = 0`, such that `α^2 + β^2 = 18`, what is the sum of all possible real values of k?",MCQ,Q51,Quantitative Aptitude,40,MockSet1_QA,"For `x^2 - (k-2)x - (k+5) = 0`:
Sum of roots: `α + β = k-2`.
Product of roots: `αβ = -(k+5)`.
Given `α^2 + β^2 = 18`.
Using `α^2 + β^2 = (α+β)^2 - 2αβ`:
`18 = (k-2)^2 - 2(-(k+5))`
`18 = (k^2 - 4k + 4) + (2k + 10)`
`18 = k^2 - 2k + 14`
`k^2 - 2k - 4 = 0`.
For the roots α, β to be real, the discriminant of the original equation must be non-negative.
`D_x = (-(k-2))^2 - 4(1)(-(k+5)) = (k-2)^2 + 4(k+5) = k^2 - 4k + 4 + 4k + 20 = k^2 + 24`.
Since `k^2 ≥ 0`, `k^2 + 24` is always positive. So, roots are real for all real k.
The possible values of k are the roots of `k^2 - 2k - 4 = 0`.
The sum of all possible real values of k is the sum of the roots of this quadratic, which is -(-2)/1 = 2.
The correct option is (B).",Quadratic Equations,Algebra
Analysis,"Concentration Change, Acid-Water Mixture, Multiple Additions",A,"Concentration Change, Acid-Water Mixture, Multiple Additions",Hard,False,40,A,50,B,60,C,75,D,,,8,"A vessel contains a solution of acid and water. The initial concentration of acid is 60%. Some water is added to the vessel, and the acid concentration becomes 40%. Then, 25 liters of acid are added to the vessel, and the acid concentration becomes 17/35. What was the initial quantity of water in the vessel, in liters, if the initial total volume of the solution was 100 litres?",MCQ,Q52,Quantitative Aptitude,40,MockSet1_QA,"Initial total volume V₀ = 100 liters.
Initial acid concentration = 60%.
Initial amount of acid A₀ = 0.60 × 100 = 60 L.
Initial amount of water W₀ = 100 - 60 = 40 L.
Let `w_added` liters of water be added.
New total volume = `100 + w_added`. The amount of acid remains 60 L.
New acid concentration = 60 / (100 + w_added) = 0.40.
60 = 0.4(100 + w_added) => 60 = 40 + 0.4w_added => 20 = 0.4w_added => w_added = 50 liters.
After adding 50 L of water: Volume = 150 L, Acid = 60 L. Concentration = 60/150 = 0.4.
Next, 25 liters of acid are added.
New amount of acid = 60 + 25 = 85 L.
New total volume = 150 + 25 = 175 L.
New acid concentration = 85/175 = (5 × 17)/(5 × 35) = 17/35.
This matches the given information. The question asks for the initial quantity of water, which is W₀ = 40 liters.
The correct option is (A).",Mixtures & Alligations,Arithmetic
Analysis,"Box in Sphere, Sum of Edges, Surface Area, Diagonal of Cuboid, Diameter of Sphere",10,"Box in Sphere, Sum of Edges, Surface Area, Diagonal of Cuboid, Diameter of Sphere",Hard,True,,,,,,,,,,,9,"A rectangular box is inscribed in a sphere of radius R cm. The sum of the lengths of all 12 edges of the box is 112 cm, and its total surface area is 384 cm². Find the value of R.",TITA,Q53,Quantitative Aptitude,40,MockSet1_QA,"Let the dimensions of the rectangular box be l, w, h.
Sum of lengths of all 12 edges: `4(l+w+h) = 112 => l+w+h = 28` cm.
Total surface area: `2(lw+wh+hl) = 384` cm².
The diagonal of the box, `D_box = √(l^2+w^2+h^2)`, is equal to the diameter of the circumscribing sphere, 2R.
So, `(2R)^2 = D_box^2 = l^2+w^2+h^2`.
Using the identity `(l+w+h)^2 = l^2+w^2+h^2 + 2(lw+wh+hl)`:
`28^2 = (2R)^2 + 384`
`784 = (2R)^2 + 384`
`(2R)^2 = 784 - 384 = 400`
`2R = √400 = 20` cm.
The radius of the sphere R = 20/2 = 10 cm.
The final answer is 10.",Mensuration - 3D,Geometry
Application,"Infinite Geometric Series, Sum of Series, Alternating Terms Pattern",A,"Infinite Geometric Series, Sum of Series, Alternating Terms Pattern",Medium,False,1/8,A,1/12,B,5/24,C,7/32,D,,,10,Consider the infinite series `S = 1/3 - 2/3^2 + 1/3^3 - 2/3^4 + 1/3^5 - 2/3^6 + …`. What is the value of S?,MCQ,Q54,Quantitative Aptitude,40,MockSet1_QA,"The series `S = 1/3 - 2/3^2 + 1/3^3 - 2/3^4 + …` can be split into two geometric series:
S₁ = `1/3 + 1/3^3 + 1/3^5 + …`
This is a GP with first term a₁ = 1/3 and common ratio r₁ = 1/9.
Sum S₁ = a₁/(1-r₁) = (1/3)/(1 - 1/9) = (1/3)/(8/9) = 3/8.
S₂ = `-2/3^2 - 2/3^4 - 2/3^6 - … = -(2/3^2 + 2/3^4 + …)`
The series in the parenthesis is a GP with first term a₂ = 2/9 and common ratio r₂ = 1/9.
Sum of this series is a₂/(1-r₂) = (2/9)/(1 - 1/9) = (2/9)/(8/9) = 2/8 = 1/4.
So, S₂ = -1/4.
The total sum S = S₁ + S₂ = 3/8 - 1/4 = 3/8 - 2/8 = 1/8.
The correct option is (A).",Sequences & Series,Algebra
